Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-04-11 15:30:30.68,2023-04-11 13:30:31.0,7199680,1
2023-04-11 15:30:30.753,2023-04-11 13:30:31.0,7199753,1
2023-04-11 15:30:30.785,2023-04-11 13:30:31.0,7199785,1
2023-04-11 15:30:30.891,2023-04-11 13:30:31.0,7199891,1
2023-04-11 15:30:31.092,2023-04-11 13:30:31.0,7200092,1
2023-04-11 15:30:31.294,2023-04-11 13:30:31.0,7200294,1
2023-04-11 15:30:31.523,2023-04-11 13:30:31.0,7200523,1
2023-04-11 15:30:31.731,2023-04-11 13:30:32.0,7199731,1
2023-04-11 15:30:31.827,2023-04-11 13:30:32.0,7199827,1
2023-04-11 15:30:31.857,2023-04-11 13:30:32.0,7199857,1
2023-04-11 15:30:32.133,2023-04-11 13:30:32.0,7200133,1
2023-04-11 15:30:32.336,2023-04-11 13:30:32.0,7200336,1
2023-04-11 15:30:32.493,2023-04-11 13:30:32.0,7200493,1
2023-04-11 15:30:32.767,2023-04-11 13:30:33.0,7199767,1
2023-04-11 15:30:32.767,2023-04-11 13:30:33.0,7199767,1
2023-04-11 15:30:32.795,2023-04-11 13:30:33.0,7199795,1
2023-04-11 15:30:32.95,2023-04-11 13:30:33.0,7199950,1
2023-04-11 15:30:33.373,2023-04-11 13:30:33.0,7200373,1
2023-04-11 15:30:33.373,2023-04-11 13:30:33.0,7200373,1
2023-04-11 15:30:33.455,2023-04-11 13:30:33.0,7200455,1
2023-04-11 15:30:33.685,2023-04-11 13:30:34.0,7199685,1
2023-04-11 15:30:33.751,2023-04-11 13:30:34.0,7199751,1
2023-04-11 15:30:33.751,2023-04-11 13:30:34.0,7199751,1
2023-04-11 15:30:33.85,2023-04-11 13:30:34.0,7199850,1
2023-04-11 15:30:34.315,2023-04-11 13:30:34.0,7200315,1
2023-04-11 15:30:34.479,2023-04-11 13:30:34.0,7200479,1
2023-04-11 15:30:34.68,2023-04-11 13:30:35.0,7199680,1
2023-04-11 15:30:34.71,2023-04-11 13:30:35.0,7199710,1
2023-04-11 15:30:34.748,2023-04-11 13:30:35.0,7199748,1
2023-04-11 15:30:34.88,2023-04-11 13:30:35.0,7199880,1
2023-04-11 15:30:35.11,2023-04-11 13:30:35.0,7200110,1
2023-04-11 15:30:35.277,2023-04-11 13:30:35.0,7200277,1
2023-04-11 15:30:35.507,2023-04-11 13:30:35.0,7200507,1
2023-04-11 15:30:35.688,2023-04-11 13:30:36.0,7199688,1
2023-04-11 15:30:35.788,2023-04-11 13:30:36.0,7199788,1
2023-04-11 15:30:35.788,2023-04-11 13:30:36.0,7199788,1
2023-04-11 15:30:35.852,2023-04-11 13:30:36.0,7199852,1
2023-04-11 15:30:36.092,2023-04-11 13:30:36.0,7200092,1
2023-04-11 15:30:36.325,2023-04-11 13:30:36.0,7200325,1
2023-04-11 15:30:36.483,2023-04-11 13:30:36.0,7200483,1
2023-04-11 15:30:36.713,2023-04-11 13:30:37.0,7199713,1
2023-04-11 15:30:36.813,2023-04-11 13:30:37.0,7199813,1
2023-04-11 15:30:36.813,2023-04-11 13:30:37.0,7199813,1
2023-04-11 15:30:37.109,2023-04-11 13:30:37.0,7200109,1
