Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-05-03 15:09:35.656,2023-05-03 15:09:35.557,99
2023-05-03 15:09:36.624,2023-05-03 15:09:36.557,67
2023-05-03 15:09:37.626,2023-05-03 15:09:37.557,69
2023-05-03 15:09:38.665,2023-05-03 15:09:38.557,108
2023-05-03 15:09:39.666,2023-05-03 15:09:39.557,109
2023-05-03 15:09:40.671,2023-05-03 15:09:40.556,115
2023-05-03 15:09:41.704,2023-05-03 15:09:41.556,148
2023-05-03 15:09:42.715,2023-05-03 15:09:42.557,158
2023-05-03 15:09:43.71,2023-05-03 15:09:43.557,153
2023-05-03 15:09:44.719,2023-05-03 15:09:44.557,162
2023-05-03 15:09:45.685,2023-05-03 15:09:45.557,128
2023-05-03 15:09:46.682,2023-05-03 15:09:46.556,126
2023-05-03 15:09:47.122,2023-05-03 15:09:46.87,252
2023-05-03 15:09:47.627,2023-05-03 15:09:47.556,71
2023-05-03 15:09:48.661,2023-05-03 15:09:48.556,105
2023-05-03 15:09:49.667,2023-05-03 15:09:49.557,110
2023-05-03 15:09:50.66,2023-05-03 15:09:50.557,103
2023-05-03 15:09:51.666,2023-05-03 15:09:51.557,109
2023-05-03 15:09:52.632,2023-05-03 15:09:52.557,75
2023-05-03 15:09:53.7,2023-05-03 15:09:53.557,143
2023-05-03 15:09:54.713,2023-05-03 15:09:54.556,157
2023-05-03 15:09:55.679,2023-05-03 15:09:55.556,123
2023-05-03 15:09:56.675,2023-05-03 15:09:56.556,119
2023-05-03 15:09:57.708,2023-05-03 15:09:57.557,151
