Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-05-03 15:10:38.644,2023-05-03 15:10:38.556,88
2023-05-03 15:10:39.653,2023-05-03 15:10:39.556,97
2023-05-03 15:10:40.626,2023-05-03 15:10:40.557,69
2023-05-03 15:10:41.66,2023-05-03 15:10:41.556,104
2023-05-03 15:10:42.527,2023-05-03 15:10:42.166,361
2023-05-03 15:10:42.66,2023-05-03 15:10:42.556,104
2023-05-03 15:10:43.63,2023-05-03 15:10:43.556,74
2023-05-03 15:10:44.662,2023-05-03 15:10:44.557,105
2023-05-03 15:10:45.632,2023-05-03 15:10:45.556,76
2023-05-03 15:10:46.668,2023-05-03 15:10:46.557,111
2023-05-03 15:10:47.636,2023-05-03 15:10:47.556,80
2023-05-03 15:10:48.708,2023-05-03 15:10:48.557,151
2023-05-03 15:10:49.71,2023-05-03 15:10:49.557,153
2023-05-03 15:10:50.709,2023-05-03 15:10:50.557,152
2023-05-03 15:10:51.68,2023-05-03 15:10:51.557,123
2023-05-03 15:10:52.687,2023-05-03 15:10:52.557,130
2023-05-03 15:10:53.681,2023-05-03 15:10:53.556,125
2023-05-03 15:10:54.688,2023-05-03 15:10:54.557,131
2023-05-03 15:10:55.66,2023-05-03 15:10:55.556,104
2023-05-03 15:10:56.659,2023-05-03 15:10:56.556,103
