Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-06-12 14:59:40.656,2023-06-12 14:59:05.0,35656,2
2023-06-12 14:59:40.686,2023-06-12 14:59:05.2,35486,2
2023-06-12 14:59:40.753,2023-06-12 14:59:05.4,35353,2
2023-06-12 14:59:40.89,2023-06-12 14:59:05.4,35490,2
2023-06-12 14:59:40.987,2023-06-12 14:59:05.6,35387,2
2023-06-12 14:59:41.052,2023-06-12 14:59:05.6,35452,2
2023-06-12 14:59:41.192,2023-06-12 14:59:05.8,35392,2
2023-06-12 14:59:41.285,2023-06-12 14:59:05.8,35485,2
2023-06-12 14:59:41.425,2023-06-12 14:59:06.0,35425,2
2023-06-12 14:59:41.512,2023-06-12 14:59:06.0,35512,2
2023-06-12 14:59:41.562,2023-06-12 14:59:06.2,35362,2
2023-06-12 14:59:41.629,2023-06-12 14:59:06.2,35429,2
2023-06-12 14:59:41.798,2023-06-12 14:59:06.4,35398,2
2023-06-12 14:59:41.861,2023-06-12 14:59:06.4,35461,2
2023-06-12 14:59:41.969,2023-06-12 14:59:06.6,35369,2
2023-06-12 14:59:42.041,2023-06-12 14:59:06.6,35441,2
2023-06-12 14:59:42.236,2023-06-12 14:59:06.8,35436,2
2023-06-12 14:59:42.269,2023-06-12 14:59:06.8,35469,2
2023-06-12 14:59:42.467,2023-06-12 14:59:07.0,35467,2
2023-06-12 14:59:42.509,2023-06-12 14:59:07.0,35509,2
2023-06-12 14:59:42.537,2023-06-12 14:59:07.2,35337,2
2023-06-12 14:59:42.606,2023-06-12 14:59:07.2,35406,2
2023-06-12 14:59:42.739,2023-06-12 14:59:07.4,35339,2
2023-06-12 14:59:42.769,2023-06-12 14:59:07.4,35369,2
2023-06-12 14:59:42.939,2023-06-12 14:59:07.6,35339,2
2023-06-12 14:59:43.05,2023-06-12 14:59:07.6,35450,2
2023-06-12 14:59:43.14,2023-06-12 14:59:07.8,35340,2
2023-06-12 14:59:43.404,2023-06-12 14:59:08.0,35404,2
2023-06-12 14:59:43.436,2023-06-12 14:59:08.0,35436,2
2023-06-12 14:59:43.573,2023-06-12 14:59:08.2,35373,2
2023-06-12 14:59:43.648,2023-06-12 14:59:08.2,35448,2
2023-06-12 14:59:43.737,2023-06-12 14:59:08.4,35337,2
2023-06-12 14:59:43.804,2023-06-12 14:59:08.4,35404,2
2023-06-12 14:59:43.908,2023-06-12 14:59:08.6,35308,2
2023-06-12 14:59:44.041,2023-06-12 14:59:08.6,35441,2
2023-06-12 14:59:44.141,2023-06-12 14:59:08.8,35341,2
2023-06-12 14:59:44.204,2023-06-12 14:59:08.8,35404,2
2023-06-12 14:59:44.404,2023-06-12 14:59:09.0,35404,2
2023-06-12 14:59:44.471,2023-06-12 14:59:09.0,35471,2
2023-06-12 14:59:44.538,2023-06-12 14:59:09.2,35338,2
2023-06-12 14:59:44.64,2023-06-12 14:59:09.2,35440,2
2023-06-12 14:59:44.773,2023-06-12 14:59:09.4,35373,2
2023-06-12 14:59:44.835,2023-06-12 14:59:09.4,35435,2
2023-06-12 14:59:44.939,2023-06-12 14:59:09.6,35339,2
2023-06-12 14:59:45.01,2023-06-12 14:59:09.6,35410,2
2023-06-12 14:59:45.218,2023-06-12 14:59:09.8,35418,2
2023-06-12 14:59:45.245,2023-06-12 14:59:09.8,35445,2
2023-06-12 14:59:45.44,2023-06-12 14:59:10.0,35440,2
2023-06-12 14:59:45.44,2023-06-12 14:59:10.0,35440,2
2023-06-12 14:59:45.612,2023-06-12 14:59:10.2,35412,2
2023-06-12 14:59:45.74,2023-06-12 14:59:10.4,35340,2
2023-06-12 14:59:46.045,2023-06-12 14:59:10.4,35645,2
2023-06-12 14:59:46.14,2023-06-12 14:59:10.6,35540,2
2023-06-12 14:59:46.175,2023-06-12 14:59:10.8,35375,2
2023-06-12 14:59:46.206,2023-06-12 14:59:10.8,35406,2
2023-06-12 14:59:46.408,2023-06-12 14:59:11.0,35408,2
2023-06-12 14:59:46.473,2023-06-12 14:59:11.0,35473,2
2023-06-12 14:59:46.54,2023-06-12 14:59:11.2,35340,2
2023-06-12 14:59:46.779,2023-06-12 14:59:11.4,35379,2
2023-06-12 14:59:46.841,2023-06-12 14:59:11.4,35441,2
2023-06-12 14:59:46.915,2023-06-12 14:59:11.6,35315,2
2023-06-12 14:59:47.043,2023-06-12 14:59:11.6,35443,2
2023-06-12 14:59:47.146,2023-06-12 14:59:11.8,35346,2
2023-06-12 14:59:47.207,2023-06-12 14:59:11.8,35407,2
2023-06-12 14:59:47.415,2023-06-12 14:59:12.0,35415,2
2023-06-12 14:59:47.415,2023-06-12 14:59:12.0,35415,2
2023-06-12 14:59:47.544,2023-06-12 14:59:12.2,35344,2
2023-06-12 14:59:47.609,2023-06-12 14:59:12.2,35409,2
2023-06-12 14:59:47.742,2023-06-12 14:59:12.4,35342,2
