Format Version,1.23,Take Name,Calibsmartstonex 2023-04-17 11.37.41 AM_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-04-17 11.38.40.797 AM,Capture Start Frame,2604639,Total Frames in Take,9521,Total Exported Frames,9521,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.851223,-9.278605,-0.289271,0.068561,1.916125,0.231517,0.151908,1.925545,0.245845,0.054020,1.924702,0.315330,0.081939,1.931907,0.148049,-0.015727,1.928260,0.217240,0.070020,1.970770,0.231111,0.089266,0.607485,-0.170766,0.066668,1.716864,0.132781,0.069438,1.742837,0.132529,0.066528,1.633017,0.134231,0.066684,1.716903,0.132802,0.070228,1.664566,0.106272,0.069329,1.742693,0.132333,0.066481,1.633060,0.134217,0.066815,1.716942,0.133059,0.070253,1.664627,0.106225,0.150250,1.925379,0.245450,0.054237,1.924903,0.314225,0.081935,1.932066,0.149295,-0.013998,1.928229,0.217718,0.069852,1.970591,0.231013
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-0.846994,-9.260921,-0.298713,0.068547,1.916124,0.231495,0.151901,1.925529,0.245798,0.054033,1.924695,0.315313,0.081903,1.931913,0.148024,-0.015743,1.928275,0.217244,0.070016,1.970769,0.231094,-0.004227,0.326801,-0.114258,0.066502,1.716878,0.132632,0.069247,1.742852,0.132352,0.066437,1.633032,0.134217,0.066518,1.716916,0.132652,0.070243,1.664540,0.106226,0.069346,1.742662,0.132322,0.066468,1.633072,0.134229,0.066385,1.716980,0.132661,0.070245,1.664627,0.106235,0.150323,1.925379,0.245396,0.054240,1.924906,0.314227,0.081905,1.932077,0.149279,-0.013997,1.928217,0.217716,0.069850,1.970586,0.231008
9,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-0.850940,-9.269071,-0.303483,0.068543,1.916126,0.231501,0.151895,1.925525,0.245816,0.054017,1.924703,0.315317,0.081912,1.931909,0.148032,-0.015744,1.928282,0.217238,0.070016,1.970771,0.231097,-0.002791,0.335042,-0.121534,0.066514,1.716887,0.132628,0.069263,1.742861,0.132348,0.066438,1.633041,0.134211,0.066530,1.716925,0.132648,0.070244,1.664549,0.106220,0.069362,1.742684,0.132304,0.066469,1.633068,0.134212,0.066397,1.716990,0.132672,0.070247,1.664634,0.106238,0.150374,1.925387,0.245435,0.054229,1.924910,0.314230,0.081920,1.932074,0.149287,-0.013983,1.928220,0.217723,0.069845,1.970589,0.231004
12,0.033333,-0.849719,-9.279415,-0.286001,0.068559,1.916129,0.231517,0.151905,1.925553,0.245846,0.054016,1.924704,0.315329,0.081938,1.931913,0.148049,-0.015729,1.928259,0.217238,0.070015,1.970774,0.231112,-0.016108,0.293063,-0.109518,0.066500,1.716889,0.132623,0.069244,1.742864,0.132339,0.066441,1.633044,0.134225,0.066516,1.716927,0.132643,0.070261,1.664546,0.106230,0.069339,1.742687,0.132295,0.066471,1.633078,0.134226,0.066388,1.716992,0.132671,0.070264,1.664626,0.106246,0.150249,1.925385,0.245444,0.054235,1.924905,0.314227,0.081939,1.932072,0.149299,-0.013991,1.928231,0.217720,0.069841,1.970593,0.231015
13,0.036111,-0.851586,-9.265777,-0.302642,0.068549,1.916126,0.231512,0.151902,1.925525,0.245821,0.054029,1.924703,0.315328,0.081913,1.931907,0.148041,-0.015739,1.928280,0.217253,0.070021,1.970770,0.231107,-0.010400,0.337241,-0.107944,0.066499,1.716891,0.132618,0.069241,1.742866,0.132334,0.066443,1.633046,0.134212,0.066515,1.716930,0.132638,0.070241,1.664551,0.106217,0.069342,1.742691,0.132285,0.066474,1.633077,0.134208,0.066380,1.716999,0.132674,0.070244,1.664627,0.106236,0.150370,1.925383,0.245452,0.054251,1.924910,0.314224,0.081918,1.932068,0.149296,-0.013995,1.928230,0.217725,0.069845,1.970590,0.231014
14,0.038889,-0.851577,-9.276349,-0.285468,0.068558,1.916131,0.231522,0.151906,1.925557,0.245846,0.054020,1.924709,0.315335,0.081933,1.931913,0.148053,-0.015731,1.928260,0.217247,0.070014,1.970776,0.231115,0.003283,0.319036,-0.106026,0.066510,1.716886,0.132625,0.069252,1.742861,0.132348,0.066457,1.633040,0.134198,0.066526,1.716924,0.132645,0.070262,1.664552,0.106212,0.069359,1.742677,0.132288,0.066488,1.633074,0.134201,0.066382,1.716979,0.132690,0.070267,1.664646,0.106224,0.150257,1.925395,0.245452,0.054237,1.924914,0.314226,0.081928,1.932075,0.149298,-0.013998,1.928225,0.217728,0.069849,1.970591,0.231018
15,0.041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.044444,-0.850152,-9.266719,-0.283931,0.068555,1.916132,0.231498,0.151905,1.925559,0.245809,0.054031,1.924707,0.315314,0.081915,1.931916,0.148028,-0.015736,1.928259,0.217239,0.070010,1.970777,0.231092,-0.001525,0.324623,-0.107615,0.066500,1.716892,0.132628,0.069243,1.742866,0.132348,0.066445,1.633046,0.134208,0.066516,1.716930,0.132648,0.070248,1.664555,0.106219,0.069349,1.742702,0.132296,0.066477,1.633078,0.134207,0.066373,1.716986,0.132689,0.070253,1.664631,0.106231,0.150215,1.925385,0.245381,0.054235,1.924906,0.314223,0.081909,1.932071,0.149287,-0.013994,1.928225,0.217717,0.069847,1.970605,0.231002
17,0.047222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.052778,-0.853428,-9.271294,-0.292026,0.068553,1.916133,0.231515,0.151903,1.925549,0.245832,0.054023,1.924713,0.315329,0.081922,1.931911,0.148045,-0.015736,1.928271,0.217248,0.070015,1.970778,0.231107,-0.006431,0.299631,-0.104403,0.066505,1.716890,0.132621,0.069246,1.742865,0.132341,0.066453,1.633045,0.134210,0.066521,1.716928,0.132642,0.070267,1.664552,0.106219,0.069352,1.742678,0.132288,0.066486,1.633082,0.134208,0.066379,1.716988,0.132677,0.070270,1.664641,0.106239,0.150258,1.925391,0.245435,0.054237,1.924912,0.314230,0.081916,1.932070,0.149298,-0.013989,1.928232,0.217729,0.069853,1.970600,0.231009
20,0.055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.058333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.061111,-0.856147,-9.269753,-0.295467,0.068555,1.916132,0.231514,0.151906,1.925544,0.245828,0.054028,1.924717,0.315328,0.081923,1.931907,0.148043,-0.015733,1.928275,0.217249,0.070021,1.970777,0.231104,-0.021968,0.340037,-0.110293,0.066518,1.716890,0.132619,0.069262,1.742865,0.132330,0.066459,1.633045,0.134230,0.066534,1.716928,0.132640,0.070257,1.664544,0.106228,0.069364,1.742702,0.132288,0.066492,1.633077,0.134224,0.066398,1.716993,0.132667,0.070259,1.664610,0.106249,0.150264,1.925393,0.245433,0.054240,1.924919,0.314227,0.081910,1.932066,0.149294,-0.013986,1.928231,0.217722,0.069866,1.970595,0.231013
23,0.063889,-0.853885,-9.271477,-0.295864,0.068553,1.916127,0.231515,0.151904,1.925538,0.245832,0.054023,1.924708,0.315329,0.081924,1.931905,0.148045,-0.015735,1.928271,0.217248,0.070019,1.970772,0.231107,-0.018611,0.320841,-0.118285,0.066515,1.716882,0.132612,0.069263,1.742856,0.132325,0.066444,1.633037,0.134218,0.066531,1.716920,0.132632,0.070255,1.664537,0.106219,0.069376,1.742668,0.132273,0.066479,1.633081,0.134219,0.066379,1.716985,0.132673,0.070260,1.664618,0.106229,0.150254,1.925383,0.245440,0.054239,1.924907,0.314229,0.081912,1.932058,0.149282,-0.013992,1.928236,0.217719,0.069859,1.970595,0.231016
24,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
