Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 16:56:34.448,2023-04-26 16:56:34.2,248,1,14+56+34.2
2023-04-26 16:56:34.448,2023-04-26 16:56:34.2,248,1,14+56+34.2
2023-04-26 16:56:34.715,2023-04-26 16:56:34.4,315,1,14+56+34.4
2023-04-26 16:56:34.715,2023-04-26 16:56:34.4,315,1,14+56+34.4
2023-04-26 16:56:34.954,2023-04-26 16:56:34.6,354,1,14+56+34.6
2023-04-26 16:56:34.954,2023-04-26 16:56:34.6,354,1,14+56+34.6
2023-04-26 16:56:35.121,2023-04-26 16:56:34.8,321,1,14+56+34.8
2023-04-26 16:56:35.121,2023-04-26 16:56:34.8,321,1,14+56+34.8
2023-04-26 16:56:35.28,2023-04-26 16:56:35.0,280,1,14+56+35.0
2023-04-26 16:56:35.28,2023-04-26 16:56:35.0,280,1,14+56+35.0
2023-04-26 16:56:35.28,2023-04-26 16:56:35.0,280,1,14+56+35.0
2023-04-26 16:56:35.28,2023-04-26 16:56:35.0,280,1,14+56+35.0
2023-04-26 16:56:35.28,2023-04-26 16:56:35.0,280,1,14+56+35.0
2023-04-26 16:56:35.28,2023-04-26 16:56:35.0,280,1,14+56+35.0
2023-04-26 16:56:35.516,2023-04-26 16:56:35.2,316,1,14+56+35.2
2023-04-26 16:56:35.516,2023-04-26 16:56:35.2,316,1,14+56+35.2
2023-04-26 16:56:35.685,2023-04-26 16:56:35.4,285,1,14+56+35.4
2023-04-26 16:56:35.685,2023-04-26 16:56:35.4,285,1,14+56+35.4
2023-04-26 16:56:35.845,2023-04-26 16:56:35.6,245,1,14+56+35.6
2023-04-26 16:56:35.845,2023-04-26 16:56:35.6,245,1,14+56+35.6
2023-04-26 16:56:36.082,2023-04-26 16:56:35.8,282,1,14+56+35.8
2023-04-26 16:56:36.082,2023-04-26 16:56:35.8,282,1,14+56+35.8
2023-04-26 16:56:36.321,2023-04-26 16:56:36.0,321,1,14+56+36.0
2023-04-26 16:56:36.321,2023-04-26 16:56:36.0,321,1,14+56+36.0
2023-04-26 16:56:36.321,2023-04-26 16:56:36.0,321,1,14+56+36.0
2023-04-26 16:56:36.321,2023-04-26 16:56:36.0,321,1,14+56+36.0
2023-04-26 16:56:36.35,2023-04-26 16:56:36.0,350,1,14+56+36.0
2023-04-26 16:56:36.35,2023-04-26 16:56:36.0,350,1,14+56+36.0
2023-04-26 16:56:36.491,2023-04-26 16:56:36.2,291,1,14+56+36.2
2023-04-26 16:56:36.491,2023-04-26 16:56:36.2,291,1,14+56+36.2
2023-04-26 16:56:36.863,2023-04-26 16:56:36.6,263,1,14+56+36.6
2023-04-26 16:56:36.863,2023-04-26 16:56:36.6,263,1,14+56+36.6
2023-04-26 16:56:37.121,2023-04-26 16:56:36.8,321,1,14+56+36.8
2023-04-26 16:56:37.121,2023-04-26 16:56:36.8,321,1,14+56+36.8
2023-04-26 16:56:37.527,2023-04-26 16:56:37.0,527,1,14+56+37.0
2023-04-26 16:56:37.527,2023-04-26 16:56:37.0,527,1,14+56+37.0
2023-04-26 16:56:37.592,2023-04-26 16:56:37.0,592,1,14+56+37.0
2023-04-26 16:56:37.592,2023-04-26 16:56:37.0,592,1,14+56+37.0
2023-04-26 16:56:37.658,2023-04-26 16:56:37.0,658,1,14+56+37.0
2023-04-26 16:56:37.658,2023-04-26 16:56:37.0,658,1,14+56+37.0
2023-04-26 16:56:37.658,2023-04-26 16:56:37.2,458,1,14+56+37.2
2023-04-26 16:56:37.658,2023-04-26 16:56:37.2,458,1,14+56+37.2
2023-04-26 16:56:37.658,2023-04-26 16:56:37.4,258,1,14+56+37.4
2023-04-26 16:56:37.658,2023-04-26 16:56:37.4,258,1,14+56+37.4
2023-04-26 16:56:37.927,2023-04-26 16:56:37.6,327,1,14+56+37.6
2023-04-26 16:56:37.927,2023-04-26 16:56:37.6,327,1,14+56+37.6
2023-04-26 16:56:38.088,2023-04-26 16:56:37.8,288,1,14+56+37.8
2023-04-26 16:56:38.088,2023-04-26 16:56:37.8,288,1,14+56+37.8
2023-04-26 16:56:38.261,2023-04-26 16:56:38.0,261,1,14+56+38.0
