Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:00:51.092,2023-04-26 17:00:50.8,292,1,15+0+50.8
2023-04-26 17:00:51.288,2023-04-26 17:00:51.0,288,1,15+0+51.0
2023-04-26 17:00:51.318,2023-04-26 17:00:51.0,318,1,15+0+51.0
2023-04-26 17:00:51.318,2023-04-26 17:00:51.0,318,1,15+0+51.0
2023-04-26 17:00:51.487,2023-04-26 17:00:51.2,287,1,15+0+51.2
2023-04-26 17:00:51.724,2023-04-26 17:00:51.4,324,1,15+0+51.4
2023-04-26 17:00:51.92,2023-04-26 17:00:51.6,320,1,15+0+51.6
2023-04-26 17:00:52.089,2023-04-26 17:00:51.8,289,1,15+0+51.8
2023-04-26 17:00:52.29,2023-04-26 17:00:52.0,290,1,15+0+52.0
2023-04-26 17:00:52.43,2023-04-26 17:00:52.0,430,1,15+0+52.0
2023-04-26 17:00:52.43,2023-04-26 17:00:52.0,430,1,15+0+52.0
2023-04-26 17:00:52.498,2023-04-26 17:00:52.2,298,1,15+0+52.2
2023-04-26 17:00:52.633,2023-04-26 17:00:52.4,233,1,15+0+52.4
2023-04-26 17:00:52.896,2023-04-26 17:00:52.6,296,1,15+0+52.6
2023-04-26 17:00:53.062,2023-04-26 17:00:52.8,262,1,15+0+52.8
2023-04-26 17:00:53.294,2023-04-26 17:00:53.0,294,1,15+0+53.0
2023-04-26 17:00:53.326,2023-04-26 17:00:53.0,326,1,15+0+53.0
2023-04-26 17:00:53.326,2023-04-26 17:00:53.0,326,1,15+0+53.0
2023-04-26 17:00:53.461,2023-04-26 17:00:53.2,261,1,15+0+53.2
2023-04-26 17:00:53.692,2023-04-26 17:00:53.4,292,1,15+0+53.4
2023-04-26 17:00:54.189,2023-04-26 17:00:53.6,589,1,15+0+53.6
2023-04-26 17:00:54.254,2023-04-26 17:00:53.8,454,1,15+0+53.8
2023-04-26 17:00:54.357,2023-04-26 17:00:54.0,357,1,15+0+54.0
2023-04-26 17:00:54.395,2023-04-26 17:00:54.0,395,1,15+0+54.0
2023-04-26 17:00:54.395,2023-04-26 17:00:54.0,395,1,15+0+54.0
2023-04-26 17:00:54.456,2023-04-26 17:00:54.2,256,1,15+0+54.2
2023-04-26 17:00:54.866,2023-04-26 17:00:54.6,266,1,15+0+54.6
2023-04-26 17:00:55.033,2023-04-26 17:00:54.8,233,1,15+0+54.8
2023-04-26 17:00:55.231,2023-04-26 17:00:55.0,231,1,15+0+55.0
2023-04-26 17:00:55.264,2023-04-26 17:00:55.0,264,1,15+0+55.0
2023-04-26 17:00:55.264,2023-04-26 17:00:55.0,264,1,15+0+55.0
2023-04-26 17:00:55.396,2023-04-26 17:00:55.2,196,1,15+0+55.2
2023-04-26 17:00:55.639,2023-04-26 17:00:55.4,239,1,15+0+55.4
2023-04-26 17:00:56.028,2023-04-26 17:00:55.8,228,1,15+0+55.8
2023-04-26 17:00:56.263,2023-04-26 17:00:56.0,263,1,15+0+56.0
2023-04-26 17:00:56.263,2023-04-26 17:00:56.0,263,1,15+0+56.0
2023-04-26 17:00:56.263,2023-04-26 17:00:56.0,263,1,15+0+56.0
2023-04-26 17:00:56.491,2023-04-26 17:00:56.2,291,1,15+0+56.2
2023-04-26 17:00:56.628,2023-04-26 17:00:56.4,228,1,15+0+56.4
2023-04-26 17:00:56.879,2023-04-26 17:00:56.6,279,1,15+0+56.6
