Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
STON,2023-05-03 15:09:15.546,46.089836911666666,11.115563781666667,-5.126085,7.734663,-1.647786,2
SMAR,2023-05-03 15:09:15.603,46.0898504,11.1155924,-5.77,-44.67,-0.58,null
SMAR,2023-05-03 15:09:15.62,46.0898504,11.1155924,-5.79,-44.78,-0.59,null
SMAR,2023-05-03 15:09:15.645,46.0898504,11.1155924,-5.83,-45.0,-0.58,null
SMAR,2023-05-03 15:09:15.679,46.0898504,11.1155924,-5.85,-45.3,-0.57,null
SMAR,2023-05-03 15:09:15.716,46.089851,11.1155936,-5.89,-45.62,-0.55,null
SMAR,2023-05-03 15:09:15.748,46.089851,11.1155936,-5.92,-45.92,-0.52,null
SMAR,2023-05-03 15:09:15.779,46.089851,11.1155936,-5.93,-46.17,-0.51,null
STON,2023-05-03 15:09:15.779,46.089836935,11.115563743333333,-5.126085,7.734663,-1.647786,2
STON,2023-05-03 15:09:15.779,46.089836935,11.115563743333333,-5.191719,7.767914,-1.730918,2
SMAR,2023-05-03 15:09:15.81,46.089851,11.1155936,-5.95,-46.34,-0.49,null
SMAR,2023-05-03 15:09:15.848,46.089851,11.1155936,-5.96,-46.44,-0.47,null
SMAR,2023-05-03 15:09:15.877,46.089851,11.1155936,-5.95,-46.45,-0.45,null
STON,2023-05-03 15:09:15.877,46.08983696833333,11.115563746666666,-5.191719,7.767914,-1.730918,2
SMAR,2023-05-03 15:09:15.909,46.089851,11.1155936,-5.96,-46.33,-0.43,null
STON,2023-05-03 15:09:15.909,46.08983696833333,11.115563746666666,-5.324708,6.229918,-1.622459,2
SMAR,2023-05-03 15:09:15.943,46.089851,11.1155936,-5.95,-46.08,-0.42,null
SMAR,2023-05-03 15:09:15.993,46.089851,11.1155936,-5.94,-45.76,-0.41,null
SMAR,2023-05-03 15:09:16.029,46.089851,11.1155936,-5.94,-45.48,-0.39,null
SMAR,2023-05-03 15:09:16.06,46.089851,11.1155936,-5.96,-45.28,-0.37,null
