Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-05-03 15:10:38.644,46.08986,11.1156117,-3.5,5.85,-0.78,null
SMAR,2023-05-03 15:10:38.689,46.08986,11.1156117,-3.46,5.67,-0.78,null
STON,2023-05-03 15:10:38.689,46.089836565,11.115564928333333,-2.554474,56.559795,-2.079252,2
SMAR,2023-05-03 15:10:38.726,46.08986,11.1156117,-3.43,5.48,-0.78,null
SMAR,2023-05-03 15:10:38.757,46.08986,11.1156117,-3.41,5.28,-0.77,null
STON,2023-05-03 15:10:38.757,46.089836565,11.115564928333333,-2.402085,56.556019,-2.054665,2
SMAR,2023-05-03 15:10:38.794,46.08986,11.1156117,-3.38,5.17,-0.78,null
SMAR,2023-05-03 15:10:38.827,46.08986,11.1156117,-3.32,5.24,-0.79,null
SMAR,2023-05-03 15:10:38.856,46.08986,11.1156117,-3.28,5.53,-0.82,null
STON,2023-05-03 15:10:38.856,46.089836551666664,11.115564858333334,-2.402085,56.556019,-2.054665,2
SMAR,2023-05-03 15:10:38.889,46.08986,11.1156117,-3.21,5.78,-0.84,null
SMAR,2023-05-03 15:10:38.938,46.08986,11.1156117,-3.17,5.92,-0.84,null
SMAR,2023-05-03 15:10:38.962,46.08986,11.1156117,-3.14,5.95,-0.84,null
STON,2023-05-03 15:10:38.962,46.089836551666664,11.115564858333334,-2.215933,55.976501,-2.070491,2
SMAR,2023-05-03 15:10:39.002,46.08986,11.1156117,-3.08,5.84,-0.82,null
SMAR,2023-05-03 15:10:39.02,46.08986,11.1156117,-3.07,5.7,-0.82,null
SMAR,2023-05-03 15:10:39.056,46.08986,11.1156117,-3.03,5.58,-0.82,null
STON,2023-05-03 15:10:39.056,46.0898365,11.115564773333332,-2.215933,55.976501,-2.070491,2
SMAR,2023-05-03 15:10:39.089,46.08986,11.1156117,-2.99,5.57,-0.81,null
SMAR,2023-05-03 15:10:39.121,46.08986,11.1156117,-2.95,5.52,-0.79,null
STON,2023-05-03 15:10:39.121,46.0898365,11.115564773333332,-1.959043,56.413994,-2.095081,2
SMAR,2023-05-03 15:10:39.153,46.08986,11.1156117,-2.94,5.44,-0.76,null
SMAR,2023-05-03 15:10:39.187,46.08986,11.1156117,-2.92,5.31,-0.74,null
SMAR,2023-05-03 15:10:39.224,46.08986,11.1156117,-2.92,5.25,-0.73,null
STON,2023-05-03 15:10:39.224,46.089836498333334,11.115564725,-1.959043,56.413994,-2.095081,2
SMAR,2023-05-03 15:10:39.259,46.08986,11.1156117,-2.92,5.33,-0.74,null
SMAR,2023-05-03 15:10:39.286,46.08986,11.1156117,-2.91,5.51,-0.74,null
SMAR,2023-05-03 15:10:39.324,46.08986,11.1156117,-2.9,5.84,-0.74,null
SMAR,2023-05-03 15:10:39.357,46.08986,11.1156117,-2.85,6.08,-0.73,null
STON,2023-05-03 15:10:39.357,46.089836498333334,11.115564725,-1.808587,55.974346,-2.027942,2
SMAR,2023-05-03 15:10:39.389,46.08986,11.1156117,-2.84,6.1,-0.72,null
SMAR,2023-05-03 15:10:39.424,46.08986,11.1156117,-2.84,5.92,-0.71,null
STON,2023-05-03 15:10:39.424,46.08983646833333,11.115564713333333,-1.808587,55.974346,-2.027942,2
SMAR,2023-05-03 15:10:39.451,46.08986,11.1156117,-2.81,5.75,-0.69,null
SMAR,2023-05-03 15:10:39.484,46.08986,11.1156117,-2.79,5.65,-0.66,null
SMAR,2023-05-03 15:10:39.518,46.08986,11.1156117,-2.74,5.73,-0.66,null
