Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
STON,2023-04-11 15:30:30.68,46.09030377333333,11.115565143333333,13.042488,152.515173,13.668211,1
SMAR,2023-04-11 15:30:30.713,46.0902483,11.115515,350.05,7.76,3.04,null
SMAR,2023-04-11 15:30:30.753,46.0902483,11.115515,350.05,7.77,3.03,null
STON,2023-04-11 15:30:30.753,46.09030429166667,11.11556643,13.042488,152.515173,13.668211,1
SMAR,2023-04-11 15:30:30.785,46.0902483,11.115515,350.05,7.78,3.03,null
STON,2023-04-11 15:30:30.785,46.09030429166667,11.11556643,13.042488,152.515173,13.668211,1
SMAR,2023-04-11 15:30:30.823,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:30.856,46.0902483,11.115515,350.05,7.77,3.03,null
SMAR,2023-04-11 15:30:30.891,46.0902483,11.115515,350.05,7.78,3.03,null
STON,2023-04-11 15:30:30.891,46.09030429166667,11.11556643,10.244987,152.15359899999999,6.62131,1
SMAR,2023-04-11 15:30:30.933,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:30.964,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:30.996,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:31.031,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:31.069,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:31.092,46.0902483,11.115515,350.05,7.78,3.03,null
STON,2023-04-11 15:30:31.092,46.09030429166667,11.11556643,1.91554,152.451242,-4.974612,1
SMAR,2023-04-11 15:30:31.133,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:31.16,46.0902483,11.115515,350.05,7.78,3.03,null
SMAR,2023-04-11 15:30:31.197,46.0902483,11.115515,350.06,7.77,3.02,null
SMAR,2023-04-11 15:30:31.23,46.0902483,11.115515,350.06,7.77,3.02,null
SMAR,2023-04-11 15:30:31.263,46.0902483,11.115515,350.06,7.77,3.02,null
SMAR,2023-04-11 15:30:31.294,46.0902483,11.115515,350.06,7.77,3.03,null
STON,2023-04-11 15:30:31.294,46.09030429166667,11.11556643,-2.774888,151.951128,-16.114981,1
SMAR,2023-04-11 15:30:31.33,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.366,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.393,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.426,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.462,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.492,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.523,46.0902483,11.115515,350.06,7.78,3.03,null
STON,2023-04-11 15:30:31.523,46.09030429166667,11.11556643,-5.204752,150.973198,-24.210678,1
SMAR,2023-04-11 15:30:31.56,46.0902483,11.115515,350.06,7.78,3.03,null
SMAR,2023-04-11 15:30:31.592,46.0902483,11.115515,350.06,7.77,3.03,null
SMAR,2023-04-11 15:30:31.632,46.0902483,11.115515,350.06,7.77,3.03,null
