Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-27 09:20:04.236,2023-04-27 09:20:04.13,106
2023-04-27 09:20:05.215,2023-04-27 09:20:05.131,84
2023-04-27 09:20:06.244,2023-04-27 09:20:06.13,114
2023-04-27 09:20:07.251,2023-04-27 09:20:07.13,121
2023-04-27 09:20:07.543,2023-04-27 09:20:07.49,53
2023-04-27 09:20:08.253,2023-04-27 09:20:08.13,123
2023-04-27 09:20:09.255,2023-04-27 09:20:09.131,124
2023-04-27 09:20:09.651,2023-04-27 09:20:09.448,203
2023-04-27 09:20:10.252,2023-04-27 09:20:10.131,121
2023-04-27 09:20:11.265,2023-04-27 09:20:11.131,134
2023-04-27 09:20:12.266,2023-04-27 09:20:12.13,136
2023-04-27 09:20:13.261,2023-04-27 09:20:13.131,130
2023-04-27 09:20:14.267,2023-04-27 09:20:14.131,136
2023-04-27 09:20:15.276,2023-04-27 09:20:15.131,145
2023-04-27 09:20:16.276,2023-04-27 09:20:16.13,146
2023-04-27 09:20:17.276,2023-04-27 09:20:17.131,145
2023-04-27 09:20:17.772,2023-04-27 09:20:17.705,67
2023-04-27 09:20:18.276,2023-04-27 09:20:18.131,145
2023-04-27 09:20:19.243,2023-04-27 09:20:19.13,113
2023-04-27 09:20:19.685,2023-04-27 09:20:19.512,173
2023-04-27 09:20:20.209,2023-04-27 09:20:20.131,78
2023-04-27 09:20:21.218,2023-04-27 09:20:21.13,88
2023-04-27 09:20:22.216,2023-04-27 09:20:22.13,86
2023-04-27 09:20:23.287,2023-04-27 09:20:23.13,157
2023-04-27 09:20:24.261,2023-04-27 09:20:24.131,130
2023-04-27 09:20:25.221,2023-04-27 09:20:25.131,90
2023-04-27 09:20:26.26,2023-04-27 09:20:26.13,130
2023-04-27 09:20:27.234,2023-04-27 09:20:27.131,103
2023-04-27 09:20:28.03,2023-04-27 09:20:27.93,100
2023-04-27 09:20:28.243,2023-04-27 09:20:28.131,112
2023-04-27 09:20:29.229,2023-04-27 09:20:29.13,99
2023-04-27 09:20:29.739,2023-04-27 09:20:29.586,153
2023-04-27 09:20:30.207,2023-04-27 09:20:30.131,76
