Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-05-03 15:09:15.679,2023-05-03 15:09:15.557,122
2023-05-03 15:09:16.655,2023-05-03 15:09:16.556,99
2023-05-03 15:09:17.647,2023-05-03 15:09:17.557,90
2023-05-03 15:09:18.624,2023-05-03 15:09:18.557,67
2023-05-03 15:09:19.683,2023-05-03 15:09:19.556,127
2023-05-03 15:09:20.626,2023-05-03 15:09:20.556,70
2023-05-03 15:09:21.62,2023-05-03 15:09:21.557,63
2023-05-03 15:09:22.624,2023-05-03 15:09:22.556,68
2023-05-03 15:09:23.67,2023-05-03 15:09:23.556,114
2023-05-03 15:09:24.659,2023-05-03 15:09:24.556,103
2023-05-03 15:09:25.67,2023-05-03 15:09:25.556,114
2023-05-03 15:09:26.665,2023-05-03 15:09:26.557,108
2023-05-03 15:09:27.634,2023-05-03 15:09:27.557,77
2023-05-03 15:09:28.673,2023-05-03 15:09:28.556,117
2023-05-03 15:09:29.709,2023-05-03 15:09:29.557,152
