Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-05-03 15:09:35.136,46.0898517,11.115595,-1.79,25.58,0.31,null
SMAR,2023-05-03 15:09:35.175,46.0898517,11.115595,-1.79,25.58,0.29,null
STON,2023-05-03 15:09:35.175,46.08983568,11.115564603333333,-1.772179,77.549126,-0.800615,2
SMAR,2023-05-03 15:09:35.191,46.0898517,11.115595,-1.79,25.45,0.27,null
SMAR,2023-05-03 15:09:35.218,46.0898517,11.115595,-1.8,25.29,0.27,null
SMAR,2023-05-03 15:09:35.26,46.0898517,11.115595,-1.8,25.22,0.26,null
STON,2023-05-03 15:09:35.26,46.08983572333333,11.115564595,-1.772179,77.549126,-0.800615,2
SMAR,2023-05-03 15:09:35.292,46.0898517,11.115595,-1.79,25.26,0.26,null
SMAR,2023-05-03 15:09:35.325,46.0898517,11.115595,-1.8,25.33,0.26,null
STON,2023-05-03 15:09:35.325,46.08983572333333,11.115564595,-1.794346,77.341629,-0.916645,2
SMAR,2023-05-03 15:09:35.354,46.0898517,11.115595,-1.8,25.39,0.27,null
SMAR,2023-05-03 15:09:35.39,46.0898517,11.115595,-1.8,25.45,0.27,null
SMAR,2023-05-03 15:09:35.424,46.0898517,11.115595,-1.81,25.48,0.28,null
STON,2023-05-03 15:09:35.424,46.089835738333335,11.115564598333334,-1.794346,77.341629,-0.916645,2
SMAR,2023-05-03 15:09:35.455,46.0898517,11.115595,-1.8,25.47,0.31,null
SMAR,2023-05-03 15:09:35.492,46.0898517,11.115595,-1.79,25.44,0.32,null
SMAR,2023-05-03 15:09:35.524,46.0898517,11.115595,-1.78,25.43,0.34,null
STON,2023-05-03 15:09:35.524,46.089835738333335,11.115564598333334,-1.806521,77.573944,-0.902948,2
SMAR,2023-05-03 15:09:35.556,46.0898517,11.115595,-1.77,25.38,0.36,null
SMAR,2023-05-03 15:09:35.591,46.0898517,11.115595,-1.79,25.35,0.36,null
SMAR,2023-05-03 15:09:35.628,46.0898517,11.115595,-1.79,25.25,0.39,null
SMAR,2023-05-03 15:09:35.656,46.0898517,11.115595,-1.81,25.18,0.4,null
SMAR,2023-05-03 15:09:35.691,46.0898517,11.115595,-1.82,24.97,0.43,null
SMAR,2023-05-03 15:09:35.726,46.0898517,11.115595,-1.86,24.64,0.45,null
STON,2023-05-03 15:09:35.726,46.089835713333336,11.115564621666667,-1.806521,77.573944,-0.902948,2
SMAR,2023-05-03 15:09:35.763,46.0898517,11.115595,-1.91,24.23,0.49,null
STON,2023-05-03 15:09:35.763,46.089835713333336,11.115564621666667,-1.810638,77.403252,-0.793745,2
SMAR,2023-05-03 15:09:35.79,46.0898517,11.115595,-1.95,23.7,0.51,null
SMAR,2023-05-03 15:09:35.826,46.0898517,11.115595,-2.02,23.1,0.55,null
STON,2023-05-03 15:09:35.826,46.089835691666664,11.115564733333333,-1.810638,77.403252,-0.793745,2
SMAR,2023-05-03 15:09:35.86,46.0898517,11.115595,-2.09,22.37,0.58,null
SMAR,2023-05-03 15:09:35.891,46.0898517,11.115595,-2.19,21.6,0.6,null
SMAR,2023-05-03 15:09:35.93,46.0898517,11.115595,-2.29,20.79,0.64,null
SMAR,2023-05-03 15:09:35.958,46.0898517,11.115595,-2.38,19.99,0.65,null
SMAR,2023-05-03 15:09:35.992,46.0898517,11.115595,-2.46,19.29,0.67,null
SMAR,2023-05-03 15:09:36.025,46.0898517,11.115595,-2.54,18.79,0.69,null
SMAR,2023-05-03 15:09:36.064,46.0898517,11.115595,-2.57,18.58,0.69,null
STON,2023-05-03 15:09:36.064,46.089835725,11.115564935,-1.810638,77.403252,-0.793745,2
SMAR,2023-05-03 15:09:36.091,46.0898517,11.115595,-2.55,18.56,0.72,null
SMAR,2023-05-03 15:09:36.122,46.0898517,11.115595,-2.56,18.59,0.74,null
SMAR,2023-05-03 15:09:36.156,46.0898517,11.115595,-2.61,18.7,0.71,null
SMAR,2023-05-03 15:09:36.19,46.0898517,11.115595,-2.64,19.19,0.69,null
SMAR,2023-05-03 15:09:36.223,46.0898517,11.115595,-2.59,20.08,0.63,null
SMAR,2023-05-03 15:09:36.257,46.0898517,11.115595,-2.59,21.46,0.56,null
SMAR,2023-05-03 15:09:36.29,46.0898517,11.115595,-2.56,23.23,0.42,null
SMAR,2023-05-03 15:09:36.323,46.0898517,11.115595,-2.5,25.54,0.34,null
SMAR,2023-05-03 15:09:36.355,46.0898517,11.115595,-2.42,28.41,0.21,null
SMAR,2023-05-03 15:09:36.392,46.0898517,11.115595,-2.32,31.95,0.06,null
SMAR,2023-05-03 15:09:36.426,46.0898517,11.115595,-2.19,36.55,-0.04,null
SMAR,2023-05-03 15:09:36.46,46.0898517,11.115595,-1.9,42.11,-0.21,null
SMAR,2023-05-03 15:09:36.495,46.0898517,11.115595,-1.67,48.34,-0.3,null
SMAR,2023-05-03 15:09:36.526,46.0898517,11.115595,-1.37,54.63,-0.32,null
SMAR,2023-05-03 15:09:36.558,46.0898517,11.115595,-1.07,60.7,-0.36,null
STON,2023-05-03 15:09:36.558,46.089835725,11.115564935,-2.561465,71.103325,-0.463839,2
SMAR,2023-05-03 15:09:36.591,46.0898517,11.115595,-0.88,66.64,-0.35,null
SMAR,2023-05-03 15:09:36.624,46.0898517,11.115595,-0.54,72.16,-0.29,null
SMAR,2023-05-03 15:09:36.657,46.0898517,11.115595,-0.25,77.54,-0.2,null
STON,2023-05-03 15:09:36.657,46.08983572,11.115564986666667,-2.561465,71.103325,-0.463839,2
STON,2023-05-03 15:09:36.657,46.08983572,11.115564986666667,-2.624227,72.227982,-0.504895,2
STON,2023-05-03 15:09:36.657,46.089835755,11.115564825,-2.624227,72.227982,-0.504895,2
STON,2023-05-03 15:09:36.657,46.089835755,11.115564825,-2.243845,87.971359,-1.261827,2
SMAR,2023-05-03 15:09:36.697,46.0898517,11.115595,0.06,82.81,-0.03,null
SMAR,2023-05-03 15:09:36.723,46.0898517,11.115595,0.44,87.82,0.17,null
STON,2023-05-03 15:09:36.723,46.08983576833333,11.11556439,-2.243845,87.971359,-1.261827,2
STON,2023-05-03 15:09:36.723,46.08983576833333,11.11556439,-0.584441,123.389381,-1.810536,2
SMAR,2023-05-03 15:09:36.756,46.0898517,11.115595,0.73,92.42,0.34,null
SMAR,2023-05-03 15:09:36.79,46.0898517,11.115595,1.0,96.35,0.59,null
SMAR,2023-05-03 15:09:36.824,46.0898517,11.115595,1.29,99.01,0.73,null
SMAR,2023-05-03 15:09:36.857,46.0898517,11.115595,1.42,100.68,0.82,null
STON,2023-05-03 15:09:36.857,46.089835925,11.115563768333333,-0.584441,123.389381,-1.810536,2
SMAR,2023-05-03 15:09:36.889,46.0898517,11.115595,1.59,101.58,0.96,null
SMAR,2023-05-03 15:09:36.925,46.0898517,11.115595,1.78,101.93,0.99,null
STON,2023-05-03 15:09:36.925,46.089835925,11.115563768333333,1.410988,150.573975,-0.949544,2
SMAR,2023-05-03 15:09:36.958,46.0898517,11.115595,1.86,102.14,1.07,null
SMAR,2023-05-03 15:09:36.992,46.0898517,11.115595,2.0,102.26,1.09,null
SMAR,2023-05-03 15:09:37.027,46.0898517,11.115595,2.04,102.42,1.05,null
STON,2023-05-03 15:09:37.027,46.089836121666664,11.115563541666667,1.410988,150.573975,-0.949544,2
SMAR,2023-05-03 15:09:37.061,46.0898517,11.115595,2.1,102.74,1.07,null
SMAR,2023-05-03 15:09:37.092,46.0898517,11.115595,2.25,103.15,1.1,null
SMAR,2023-05-03 15:09:37.127,46.0898517,11.115595,2.31,103.49,1.06,null
SMAR,2023-05-03 15:09:37.16,46.0898517,11.115595,2.41,103.48,1.01,null
