Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-05-02 13:07:51.536,2023-05-02 13:07:51.439,97
2023-05-02 13:07:52.515,2023-05-02 13:07:52.438,77
2023-05-02 13:07:53.508,2023-05-02 13:07:53.439,69
2023-05-02 13:07:54.534,2023-05-02 13:07:54.438,96
2023-05-02 13:07:55.545,2023-05-02 13:07:55.438,107
2023-05-02 13:07:55.91,2023-05-02 13:07:55.785,125
2023-05-02 13:07:56.539,2023-05-02 13:07:56.439,100
2023-05-02 13:07:57.546,2023-05-02 13:07:57.439,107
2023-05-02 13:07:58.508,2023-05-02 13:07:58.438,70
2023-05-02 13:07:59.506,2023-05-02 13:07:59.438,68
2023-05-02 13:08:00.542,2023-05-02 13:08:00.439,103
2023-05-02 13:08:01.509,2023-05-02 13:08:01.439,70
2023-05-02 13:08:02.522,2023-05-02 13:08:02.438,84
2023-05-02 13:08:03.547,2023-05-02 13:08:03.438,109
2023-05-02 13:08:04.523,2023-05-02 13:08:04.438,85
2023-05-02 13:08:05.559,2023-05-02 13:08:05.439,120
2023-05-02 13:08:06.554,2023-05-02 13:08:06.438,116
2023-05-02 13:08:07.57,2023-05-02 13:08:07.439,131
2023-05-02 13:08:08.564,2023-05-02 13:08:08.439,125
2023-05-02 13:08:09.598,2023-05-02 13:08:09.438,160
2023-05-02 13:08:10.575,2023-05-02 13:08:10.438,137
2023-05-02 13:08:11.604,2023-05-02 13:08:11.438,166
2023-05-02 13:08:12.572,2023-05-02 13:08:12.439,133
2023-05-02 13:08:13.573,2023-05-02 13:08:13.438,135
2023-05-02 13:08:14.575,2023-05-02 13:08:14.439,136
2023-05-02 13:08:15.584,2023-05-02 13:08:15.438,146
2023-05-02 13:08:16.58,2023-05-02 13:08:16.439,141
2023-05-02 13:08:17.518,2023-05-02 13:08:17.438,80
2023-05-02 13:08:18.527,2023-05-02 13:08:18.438,89
2023-05-02 13:08:19.588,2023-05-02 13:08:19.438,150
2023-05-02 13:08:20.57,2023-05-02 13:08:20.439,131
2023-05-02 13:08:21.561,2023-05-02 13:08:21.438,123
2023-05-02 13:08:22.568,2023-05-02 13:08:22.438,130
2023-05-02 13:08:23.576,2023-05-02 13:08:23.439,137
2023-05-02 13:08:24.603,2023-05-02 13:08:24.438,165
2023-05-02 13:08:25.568,2023-05-02 13:08:25.438,130
2023-05-02 13:08:26.516,2023-05-02 13:08:26.438,78
2023-05-02 13:08:27.508,2023-05-02 13:08:27.439,69
2023-05-02 13:08:28.551,2023-05-02 13:08:28.438,113
2023-05-02 13:08:29.518,2023-05-02 13:08:29.439,79
2023-05-02 13:08:30.516,2023-05-02 13:08:30.439,77
2023-05-02 13:08:31.521,2023-05-02 13:08:31.439,82
2023-05-02 13:08:32.519,2023-05-02 13:08:32.438,81
2023-05-02 13:08:33.566,2023-05-02 13:08:33.438,128
2023-05-02 13:08:34.566,2023-05-02 13:08:34.438,128
2023-05-02 13:08:35.562,2023-05-02 13:08:35.439,123
2023-05-02 13:08:36.567,2023-05-02 13:08:36.439,128
2023-05-02 13:08:37.574,2023-05-02 13:08:37.438,136
2023-05-02 13:08:38.581,2023-05-02 13:08:38.438,143
2023-05-02 13:08:39.605,2023-05-02 13:08:39.438,167
2023-05-02 13:08:40.541,2023-05-02 13:08:40.438,103
2023-05-02 13:08:41.513,2023-05-02 13:08:41.439,74
2023-05-02 13:08:42.505,2023-05-02 13:08:42.439,66
2023-05-02 13:08:43.519,2023-05-02 13:08:43.439,80
2023-05-02 13:08:44.514,2023-05-02 13:08:44.439,75
2023-05-02 13:08:45.517,2023-05-02 13:08:45.439,78
2023-05-02 13:08:46.52,2023-05-02 13:08:46.438,82
2023-05-02 13:08:47.56,2023-05-02 13:08:47.439,121
2023-05-02 13:08:48.568,2023-05-02 13:08:48.438,130
2023-05-02 13:08:49.566,2023-05-02 13:08:49.438,128
2023-05-02 13:08:50.568,2023-05-02 13:08:50.439,129
2023-05-02 13:08:51.567,2023-05-02 13:08:51.439,128
