Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston,Stonex_status
2023-05-09 16:58:12.617,2023-05-09 16:58:12.6,-155.86,-40.58802,-115.27198061035156,2
2023-05-09 16:58:12.793,2023-05-09 16:58:12.8,-155.58,-40.58802,-114.99198183105469,2
2023-05-09 16:58:12.859,2023-05-09 16:58:12.8,-155.4,-40.889225,-114.51076889648436,2
2023-05-09 16:58:13.024,2023-05-09 16:58:13.0,-155.46,-40.889225,-114.57078171386718,2
2023-05-09 16:58:13.024,2023-05-09 16:58:13.0,-155.46,-41.076935,-114.3830717138672,2
2023-05-09 16:58:13.125,2023-05-09 16:58:13.2,-155.67,-41.076935,-114.59306316894532,2
2023-05-09 16:58:13.189,2023-05-09 16:58:13.2,-155.73,-40.728054,-115.00194172753906,2
2023-05-09 16:58:13.357,2023-05-09 16:58:13.4,-155.63,-40.728054,-114.9019508828125,2
2023-05-09 16:58:13.421,2023-05-09 16:58:13.4,-155.77,-40.807308,-114.96269627246093,2
2023-05-09 16:58:13.554,2023-05-09 16:58:13.6,-156.11,-40.807308,-115.30269261035156,2
2023-05-09 16:58:13.619,2023-05-09 16:58:13.6,-156.0,-40.429348,-115.570652,2
2023-05-09 16:58:13.718,2023-05-09 16:58:13.8,-155.99,-40.429348,-115.56065749316406,2
2023-05-09 16:58:13.817,2023-05-09 16:58:13.8,-155.83,-40.598118,-115.23188383105469,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.0,-157.87,-40.598118,-117.2718771171875,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.0,-157.87,-40.240528,-117.6294671171875,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.2,-157.87,-40.240528,-117.6294671171875,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.2,-157.87,-38.758015,-119.1119801171875,2
2023-05-09 16:58:14.38,2023-05-09 16:58:14.4,-160.89,-38.758015,-122.13198438964844,2
2023-05-09 16:58:14.413,2023-05-09 16:58:14.4,-161.72,-35.700085,-126.01991622070312,2
2023-05-09 16:58:14.528,2023-05-09 16:58:14.6,-164.33,-35.700085,-128.6299168310547,2
2023-05-09 16:58:14.629,2023-05-09 16:58:14.6,-166.72,-30.590546,-136.12945522070314,2
2023-05-09 16:58:14.713,2023-05-09 16:58:14.8,-168.83,-30.590546,-138.2394558310547,2
2023-05-09 16:58:14.861,2023-05-09 16:58:14.8,-171.74,-26.331896,-145.40810949316406,2
2023-05-09 16:58:15.026,2023-05-09 16:58:15.0,-173.5,-26.331896,-147.168104,2
2023-05-09 16:58:15.026,2023-05-09 16:58:15.0,-173.5,-23.257132,-150.242868,2
2023-05-09 16:58:15.158,2023-05-09 16:58:15.2,-174.22,-23.257132,-150.9628692207031,2
2023-05-09 16:58:15.224,2023-05-09 16:58:15.2,-174.69,-22.058008,-152.63199444140625,2
2023-05-09 16:58:15.328,2023-05-09 16:58:15.4,-175.02,-22.058008,-152.96199627246094,2
2023-05-09 16:58:15.524,2023-05-09 16:58:15.4,-173.47,-21.618376,-151.8516252207031,2
2023-05-09 16:58:15.59,2023-05-09 16:58:15.6,-172.93,-21.618376,-151.31161667578124,2
2023-05-09 16:58:15.691,2023-05-09 16:58:15.6,-173.95,-23.629023,-150.3209739482422,2
2023-05-09 16:58:15.821,2023-05-09 16:58:15.8,-174.48,-23.629023,-150.85097272753907,2
2023-05-09 16:58:15.821,2023-05-09 16:58:15.8,-174.48,-21.970539,-152.50945672753906,2
2023-05-09 16:58:16.057,2023-05-09 16:58:16.0,-174.31,-21.970539,-152.33945855859375,2
2023-05-09 16:58:16.057,2023-05-09 16:58:16.0,-174.31,-22.414036,-151.89596155859374,2
2023-05-09 16:58:16.196,2023-05-09 16:58:16.2,-176.05,-22.414036,-153.6359670517578,2
2023-05-09 16:58:16.283,2023-05-09 16:58:16.2,-176.59,-20.642431,-155.94756533789064,2
2023-05-09 16:58:16.348,2023-05-09 16:58:16.4,-176.71,-20.642431,-156.0675757138672,2
2023-05-09 16:58:16.449,2023-05-09 16:58:16.4,-176.81,-19.947369,-156.86262855859374,2
2023-05-09 16:58:16.549,2023-05-09 16:58:16.6,-177.14,-19.947369,-157.19263038964843,2
2023-05-09 16:58:16.648,2023-05-09 16:58:16.6,-177.5,-19.522346,-157.977654,2
2023-05-09 16:58:16.783,2023-05-09 16:58:16.8,-178.37,-19.522346,-158.8476491171875,2
2023-05-09 16:58:16.865,2023-05-09 16:58:16.8,-179.16,-18.572107,-160.5878966621094,2
2023-05-09 16:58:17.028,2023-05-09 16:58:17.0,178.88,-18.572107,197.4521118828125,2
2023-05-09 16:58:17.06,2023-05-09 16:58:17.0,178.85,-15.998755,194.8487611035156,2
2023-05-09 16:58:17.194,2023-05-09 16:58:17.2,178.2,-15.998755,194.19875194824218,2
2023-05-09 16:58:17.294,2023-05-09 16:58:17.2,177.39,-15.179845,192.56984438964844,2
2023-05-09 16:58:17.426,2023-05-09 16:58:17.4,178.19,-15.179845,193.36984744140625,2
2023-05-09 16:58:17.46,2023-05-09 16:58:17.4,178.42,-14.736554,193.15655216894532,2
2023-05-09 16:58:17.635,2023-05-09 16:58:17.6,178.74,-14.736554,193.47655949316407,2
2023-05-09 16:58:17.654,2023-05-09 16:58:17.6,178.69,-15.720523,194.41052544140626,2
2023-05-09 16:58:17.735,2023-05-09 16:58:17.8,178.6,-15.720523,194.32052910351564,2
2023-05-09 16:58:17.825,2023-05-09 16:58:17.8,179.61,-16.124132,195.73413261035157,2
2023-05-09 16:58:18.059,2023-05-09 16:58:18.0,179.66,-16.124132,195.78413566210938,2
2023-05-09 16:58:18.059,2023-05-09 16:58:18.0,179.66,-16.88566,196.54566366210938,2
2023-05-09 16:58:18.155,2023-05-09 16:58:18.2,178.97,-16.88566,195.85566122070313,2
2023-05-09 16:58:18.259,2023-05-09 16:58:18.2,-179.69,-16.055656,-163.63434644140625,2
2023-05-09 16:58:18.397,2023-05-09 16:58:18.4,179.91,-16.055656,195.96565966210937,2
2023-05-09 16:58:18.43,2023-05-09 16:58:18.4,179.74,-17.012215,196.75222049316406,2
2023-05-09 16:58:18.557,2023-05-09 16:58:18.6,179.17,-17.012215,196.1822131689453,2
2023-05-09 16:58:18.622,2023-05-09 16:58:18.6,178.75,-16.000582,194.750582,2
2023-05-09 16:58:18.803,2023-05-09 16:58:18.8,178.12,-16.000582,194.1205771171875,2
2023-05-09 16:58:18.865,2023-05-09 16:58:18.8,177.99,-15.075268,193.06527349316406,2
2023-05-09 16:58:19.04,2023-05-09 16:58:19.0,178.51,-15.075268,193.58526250683593,2
2023-05-09 16:58:19.04,2023-05-09 16:58:19.0,178.51,-15.288099,193.79809350683593,2
2023-05-09 16:58:19.159,2023-05-09 16:58:19.2,178.38,-15.288099,193.6681038828125,2
2023-05-09 16:58:19.236,2023-05-09 16:58:19.2,178.54,-15.175433,193.7154262861328,2
2023-05-09 16:58:19.626,2023-05-09 16:58:19.4,177.8,-15.175433,192.9754360517578,2
2023-05-09 16:58:19.663,2023-05-09 16:58:19.4,177.83,-15.034502,192.8645038310547,2
2023-05-09 16:58:19.663,2023-05-09 16:58:19.6,177.83,-15.034502,192.8645038310547,2
2023-05-09 16:58:19.663,2023-05-09 16:58:19.6,177.83,-14.288847,192.1188488310547,2
2023-05-09 16:58:19.803,2023-05-09 16:58:19.8,178.03,-14.288847,192.31884577929688,2
2023-05-09 16:58:19.857,2023-05-09 16:58:19.8,178.14,-14.520476,192.66047538964844,2
2023-05-09 16:58:20.027,2023-05-09 16:58:20.0,178.21,-14.520476,192.7304827138672,2
2023-05-09 16:58:20.134,2023-05-09 16:58:20.0,178.18,-14.745763,192.92575567578126,2
2023-05-09 16:58:20.162,2023-05-09 16:58:20.2,178.3,-14.745763,193.04576605175782,2
2023-05-09 16:58:20.332,2023-05-09 16:58:20.2,178.2,-14.705176,192.90517294824218,2
2023-05-09 16:58:20.415,2023-05-09 16:58:20.4,178.21,-14.705176,192.91518271386718,2
2023-05-09 16:58:20.499,2023-05-09 16:58:20.4,178.32,-14.430128,192.75013532421875,2
2023-05-09 16:58:20.572,2023-05-09 16:58:20.6,178.24,-14.430128,192.67013349316406,2
2023-05-09 16:58:20.635,2023-05-09 16:58:20.6,178.14,-14.31242,192.45241938964844,2
2023-05-09 16:58:20.821,2023-05-09 16:58:20.8,178.06,-14.31242,192.37241755859375,2
2023-05-09 16:58:20.901,2023-05-09 16:58:20.8,178.25,-13.982763,192.232763,2
2023-05-09 16:58:21.086,2023-05-09 16:58:21.0,178.5,-13.982763,192.482763,2
2023-05-09 16:58:21.086,2023-05-09 16:58:21.0,178.5,-14.675161,193.175161,2
2023-05-09 16:58:21.214,2023-05-09 16:58:21.2,178.64,-14.675161,193.31516038964844,2
2023-05-09 16:58:21.249,2023-05-09 16:58:21.2,178.57,-14.450459,193.02046632421875,2
