Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-05-02 13:07:51.536,46.0898365,11.1155302,-3.04,152.63,2.01,null
SMAR,2023-05-02 13:07:51.573,46.0898366,11.1155301,-3.07,152.7,1.99,null
SMAR,2023-05-02 13:07:51.604,46.0898366,11.1155301,-3.09,152.78,1.98,null
SMAR,2023-05-02 13:07:51.638,46.0898366,11.1155301,-3.11,152.74,1.97,null
SMAR,2023-05-02 13:07:51.672,46.0898366,11.1155301,-3.13,152.67,1.96,null
STON,2023-05-02 13:07:51.672,46.08983241166667,11.11556156,-2.709858,-11.557719,1.080926,2
SMAR,2023-05-02 13:07:51.706,46.0898366,11.1155301,-3.14,152.67,1.95,null
STON,2023-05-02 13:07:51.706,46.08983241166667,11.11556156,-2.851246,-11.500414,1.039174,2
STON,2023-05-02 13:07:51.706,46.08983245333334,11.115561555,-2.851246,-11.500414,1.039174,2
SMAR,2023-05-02 13:07:51.737,46.0898366,11.1155301,-3.16,152.74,1.94,null
SMAR,2023-05-02 13:07:51.771,46.0898366,11.1155301,-3.18,152.76,1.93,null
SMAR,2023-05-02 13:07:51.804,46.0898366,11.1155301,-3.2,152.73,1.92,null
STON,2023-05-02 13:07:51.804,46.08983245333334,11.115561555,-2.964828,-11.40234,0.981329,2
SMAR,2023-05-02 13:07:51.837,46.0898366,11.1155301,-3.23,152.73,1.91,null
SMAR,2023-05-02 13:07:51.87,46.0898366,11.1155301,-3.26,152.77,1.89,null
SMAR,2023-05-02 13:07:51.901,46.0898366,11.1155301,-3.28,152.84,1.88,null
SMAR,2023-05-02 13:07:51.936,46.0898366,11.1155301,-3.3,152.9,1.86,null
SMAR,2023-05-02 13:07:51.97,46.0898366,11.1155301,-3.33,152.94,1.85,null
STON,2023-05-02 13:07:51.97,46.089832478333335,11.115561505,-2.964828,-11.40234,0.981329,2
SMAR,2023-05-02 13:07:52.001,46.0898366,11.1155301,-3.36,152.99,1.83,null
SMAR,2023-05-02 13:07:52.036,46.0898366,11.1155301,-3.39,153.1,1.83,null
STON,2023-05-02 13:07:52.036,46.089832478333335,11.115561505,-3.124347,-11.249872,0.910187,2
SMAR,2023-05-02 13:07:52.069,46.0898366,11.1155301,-3.41,153.28,1.82,null
SMAR,2023-05-02 13:07:52.101,46.0898366,11.1155301,-3.44,153.52,1.8,null
STON,2023-05-02 13:07:52.101,46.08983251833333,11.115561503333334,-3.124347,-11.249872,0.910187,2
SMAR,2023-05-02 13:07:52.137,46.0898366,11.1155301,-3.48,153.8,1.78,null
SMAR,2023-05-02 13:07:52.168,46.0898366,11.1155301,-3.54,154.2,1.75,null
SMAR,2023-05-02 13:07:52.202,46.0898366,11.1155301,-3.59,154.71,1.72,null
STON,2023-05-02 13:07:52.202,46.08983251833333,11.115561503333334,-3.309786,-10.313082,0.834848,2
SMAR,2023-05-02 13:07:52.233,46.0898366,11.1155301,-3.63,155.35,1.68,null
SMAR,2023-05-02 13:07:52.269,46.0898366,11.1155301,-3.68,155.96,1.67,null
SMAR,2023-05-02 13:07:52.301,46.0898366,11.1155301,-3.76,156.47,1.67,null
SMAR,2023-05-02 13:07:52.333,46.0898366,11.1155301,-3.8,156.67,1.66,null
STON,2023-05-02 13:07:52.333,46.089832595,11.115561508333334,-3.309786,-10.313082,0.834848,2
SMAR,2023-05-02 13:07:52.366,46.0898366,11.1155301,-3.89,156.56,1.7,null
STON,2023-05-02 13:07:52.366,46.089832595,11.115561508333334,-3.662992,-7.605076,0.731638,2
SMAR,2023-05-02 13:07:52.415,46.0898366,11.1155301,-3.96,156.3,1.76,null
SMAR,2023-05-02 13:07:52.448,46.0898366,11.1155301,-4.04,156.12,1.81,null
SMAR,2023-05-02 13:07:52.483,46.0898366,11.1155301,-4.12,156.06,1.85,null
SMAR,2023-05-02 13:07:52.515,46.0898366,11.1155301,-4.2,156.09,1.88,null
SMAR,2023-05-02 13:07:52.548,46.0898367,11.11553,-4.32,156.27,1.89,null
SMAR,2023-05-02 13:07:52.581,46.0898367,11.11553,-4.42,156.6,1.87,null
STON,2023-05-02 13:07:52.581,46.089832773333335,11.115561573333334,-3.662992,-7.605076,0.731638,2
SMAR,2023-05-02 13:07:52.614,46.0898367,11.11553,-4.56,157.16,1.83,null
SMAR,2023-05-02 13:07:52.647,46.0898367,11.11553,-4.69,157.96,1.74,null
STON,2023-05-02 13:07:52.647,46.089832773333335,11.115561573333334,-4.196668,-7.955153,0.950361,2
SMAR,2023-05-02 13:07:52.68,46.0898367,11.11553,-4.82,159.21,1.68,null
SMAR,2023-05-02 13:07:52.713,46.0898367,11.11553,-4.9,160.77,1.56,null
SMAR,2023-05-02 13:07:52.746,46.0898367,11.11553,-5.04,162.57,1.36,null
STON,2023-05-02 13:07:52.746,46.089832933333334,11.11556153,-4.196668,-7.955153,0.950361,2
SMAR,2023-05-02 13:07:52.779,46.0898367,11.11553,-5.16,164.55,1.18,null
SMAR,2023-05-02 13:07:52.812,46.0898367,11.11553,-5.28,166.86,0.94,null
SMAR,2023-05-02 13:07:52.846,46.0898367,11.11553,-5.35,169.25,0.75,null
STON,2023-05-02 13:07:52.846,46.089832933333334,11.11556153,-4.9402,-1.29225,0.353404,2
SMAR,2023-05-02 13:07:52.878,46.0898367,11.11553,-5.46,171.41,0.55,null
SMAR,2023-05-02 13:07:52.911,46.0898367,11.11553,-5.63,173.0,0.4,null
STON,2023-05-02 13:07:52.911,46.089833125,11.115561488333332,-4.9402,-1.29225,0.353404,2
SMAR,2023-05-02 13:07:52.945,46.0898367,11.11553,-5.83,174.05,0.28,null
SMAR,2023-05-02 13:07:52.978,46.0898367,11.11553,-6.03,174.66,0.22,null
SMAR,2023-05-02 13:07:53.014,46.0898367,11.11553,-6.26,174.89,0.22,null
SMAR,2023-05-02 13:07:53.046,46.0898367,11.11553,-6.52,174.69,0.28,null
STON,2023-05-02 13:07:53.046,46.089833125,11.115561488333332,-5.75677,9.993649,-0.787226,2
SMAR,2023-05-02 13:07:53.079,46.0898367,11.11553,-6.82,174.33,0.37,null
SMAR,2023-05-02 13:07:53.111,46.0898367,11.11553,-7.08,173.77,0.5,null
SMAR,2023-05-02 13:07:53.144,46.0898367,11.11553,-7.44,173.25,0.65,null
STON,2023-05-02 13:07:53.144,46.08983352,11.115561736666667,-5.75677,9.993649,-0.787226,2
SMAR,2023-05-02 13:07:53.177,46.0898367,11.11553,-7.74,172.81,0.8,null
