Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-05-02 16:50:07.186,2023-05-02 16:50:07.6,-414,2
2023-05-02 16:50:07.186,2023-05-02 16:50:07.6,-414,2
2023-05-02 16:50:07.351,2023-05-02 16:50:07.8,-449,2
2023-05-02 16:50:07.448,2023-05-02 16:50:07.8,-352,2
2023-05-02 16:50:07.579,2023-05-02 16:50:08.0,-421,2
2023-05-02 16:50:07.579,2023-05-02 16:50:08.0,-421,2
2023-05-02 16:50:07.742,2023-05-02 16:50:08.2,-458,2
2023-05-02 16:50:07.778,2023-05-02 16:50:08.2,-422,2
2023-05-02 16:50:07.953,2023-05-02 16:50:08.4,-447,2
2023-05-02 16:50:08.022,2023-05-02 16:50:08.4,-378,2
2023-05-02 16:50:08.208,2023-05-02 16:50:08.6,-392,2
2023-05-02 16:50:08.31,2023-05-02 16:50:08.6,-290,2
2023-05-02 16:50:08.346,2023-05-02 16:50:08.8,-454,2
2023-05-02 16:50:08.479,2023-05-02 16:50:08.8,-321,2
2023-05-02 16:50:08.609,2023-05-02 16:50:09.0,-391,2
2023-05-02 16:50:08.747,2023-05-02 16:50:09.2,-453,2
2023-05-02 16:50:08.81,2023-05-02 16:50:09.2,-390,2
2023-05-02 16:50:08.946,2023-05-02 16:50:09.4,-454,2
2023-05-02 16:50:09.047,2023-05-02 16:50:09.4,-353,2
2023-05-02 16:50:09.153,2023-05-02 16:50:09.6,-447,2
2023-05-02 16:50:09.247,2023-05-02 16:50:09.6,-353,2
2023-05-02 16:50:09.383,2023-05-02 16:50:09.8,-417,2
2023-05-02 16:50:09.417,2023-05-02 16:50:09.8,-383,2
2023-05-02 16:50:09.579,2023-05-02 16:50:10.0,-421,2
2023-05-02 16:50:09.616,2023-05-02 16:50:10.0,-384,2
2023-05-02 16:50:09.757,2023-05-02 16:50:10.2,-443,2
2023-05-02 16:50:09.819,2023-05-02 16:50:10.2,-381,2
2023-05-02 16:50:10.023,2023-05-02 16:50:10.4,-377,2
2023-05-02 16:50:10.023,2023-05-02 16:50:10.4,-377,2
2023-05-02 16:50:10.158,2023-05-02 16:50:10.6,-442,2
2023-05-02 16:50:10.221,2023-05-02 16:50:10.6,-379,2
2023-05-02 16:50:10.626,2023-05-02 16:50:10.8,-174,2
2023-05-02 16:50:10.626,2023-05-02 16:50:10.8,-174,2
2023-05-02 16:50:10.626,2023-05-02 16:50:11.0,-374,2
2023-05-02 16:50:10.652,2023-05-02 16:50:11.0,-348,2
2023-05-02 16:50:10.725,2023-05-02 16:50:11.2,-475,2
2023-05-02 16:50:10.865,2023-05-02 16:50:11.2,-335,2
2023-05-02 16:50:10.956,2023-05-02 16:50:11.4,-444,2
2023-05-02 16:50:11.029,2023-05-02 16:50:11.4,-371,2
2023-05-02 16:50:11.127,2023-05-02 16:50:11.6,-473,2
2023-05-02 16:50:11.232,2023-05-02 16:50:11.6,-368,2
2023-05-02 16:50:11.385,2023-05-02 16:50:11.8,-415,2
2023-05-02 16:50:11.492,2023-05-02 16:50:11.8,-308,2
2023-05-02 16:50:11.622,2023-05-02 16:50:12.0,-378,2
2023-05-02 16:50:11.622,2023-05-02 16:50:12.0,-378,2
2023-05-02 16:50:11.758,2023-05-02 16:50:12.2,-442,2
2023-05-02 16:50:11.861,2023-05-02 16:50:12.2,-339,2
2023-05-02 16:50:11.963,2023-05-02 16:50:12.4,-437,2
2023-05-02 16:50:12.036,2023-05-02 16:50:12.4,-364,2
2023-05-02 16:50:12.166,2023-05-02 16:50:12.6,-434,2
2023-05-02 16:50:12.326,2023-05-02 16:50:12.6,-274,2
2023-05-02 16:50:12.388,2023-05-02 16:50:12.8,-412,2
2023-05-02 16:50:12.462,2023-05-02 16:50:12.8,-338,2
2023-05-02 16:50:12.596,2023-05-02 16:50:13.0,-404,2
2023-05-02 16:50:12.655,2023-05-02 16:50:13.0,-345,2
2023-05-02 16:50:12.754,2023-05-02 16:50:13.2,-446,2
2023-05-02 16:50:12.822,2023-05-02 16:50:13.2,-378,2
2023-05-02 16:50:12.957,2023-05-02 16:50:13.4,-443,2
2023-05-02 16:50:13.021,2023-05-02 16:50:13.4,-379,2
2023-05-02 16:50:13.156,2023-05-02 16:50:13.6,-444,2
2023-05-02 16:50:13.225,2023-05-02 16:50:13.6,-375,2
2023-05-02 16:50:13.389,2023-05-02 16:50:13.8,-411,2
2023-05-02 16:50:13.42,2023-05-02 16:50:13.8,-380,2
2023-05-02 16:50:13.625,2023-05-02 16:50:14.0,-375,2
2023-05-02 16:50:13.625,2023-05-02 16:50:14.0,-375,2
2023-05-02 16:50:13.856,2023-05-02 16:50:14.2,-344,2
2023-05-02 16:50:13.89,2023-05-02 16:50:14.2,-310,2
2023-05-02 16:50:13.992,2023-05-02 16:50:14.4,-408,2
2023-05-02 16:50:14.125,2023-05-02 16:50:14.4,-275,2
2023-05-02 16:50:14.158,2023-05-02 16:50:14.6,-442,2
2023-05-02 16:50:14.272,2023-05-02 16:50:14.6,-328,2
2023-05-02 16:50:14.426,2023-05-02 16:50:14.8,-374,2
2023-05-02 16:50:14.53,2023-05-02 16:50:14.8,-270,2
2023-05-02 16:50:14.674,2023-05-02 16:50:15.0,-326,2
2023-05-02 16:50:14.739,2023-05-02 16:50:15.0,-261,2
2023-05-02 16:50:14.866,2023-05-02 16:50:15.2,-334,2
2023-05-02 16:50:14.964,2023-05-02 16:50:15.4,-436,2
2023-05-02 16:50:15.064,2023-05-02 16:50:15.4,-336,2
2023-05-02 16:50:15.167,2023-05-02 16:50:15.6,-433,2
2023-05-02 16:50:15.231,2023-05-02 16:50:15.6,-369,2
2023-05-02 16:50:15.403,2023-05-02 16:50:15.8,-397,2
2023-05-02 16:50:15.464,2023-05-02 16:50:15.8,-336,2
2023-05-02 16:50:15.596,2023-05-02 16:50:16.0,-404,2
2023-05-02 16:50:15.67,2023-05-02 16:50:16.0,-330,2
2023-05-02 16:50:15.742,2023-05-02 16:50:16.2,-458,2
2023-05-02 16:50:16.03,2023-05-02 16:50:16.2,-170,2
2023-05-02 16:50:16.063,2023-05-02 16:50:16.4,-337,2
2023-05-02 16:50:16.063,2023-05-02 16:50:16.4,-337,2
2023-05-02 16:50:16.133,2023-05-02 16:50:16.6,-467,2
2023-05-02 16:50:16.2,2023-05-02 16:50:16.6,-400,2
2023-05-02 16:50:16.339,2023-05-02 16:50:16.8,-461,2
2023-05-02 16:50:16.405,2023-05-02 16:50:16.8,-395,2
2023-05-02 16:50:16.605,2023-05-02 16:50:17.0,-395,2
2023-05-02 16:50:16.636,2023-05-02 16:50:17.0,-364,2
2023-05-02 16:50:16.771,2023-05-02 16:50:17.2,-429,2
2023-05-02 16:50:16.771,2023-05-02 16:50:17.2,-429,2
2023-05-02 16:50:16.9,2023-05-02 16:50:17.4,-500,2
2023-05-02 16:50:17.1,2023-05-02 16:50:17.4,-300,2
2023-05-02 16:50:17.1,2023-05-02 16:50:17.6,-500,2
2023-05-02 16:50:17.179,2023-05-02 16:50:17.6,-421,2
2023-05-02 16:50:17.368,2023-05-02 16:50:17.8,-432,2
2023-05-02 16:50:17.438,2023-05-02 16:50:17.8,-362,2
2023-05-02 16:50:17.577,2023-05-02 16:50:18.0,-423,2
2023-05-02 16:50:17.577,2023-05-02 16:50:18.0,-423,2
2023-05-02 16:50:17.804,2023-05-02 16:50:18.2,-396,2
2023-05-02 16:50:17.842,2023-05-02 16:50:18.2,-358,2
2023-05-02 16:50:17.914,2023-05-02 16:50:18.4,-486,2
