Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-05-09 16:58:12.617,2023-05-09 16:58:12.6,17,2
2023-05-09 16:58:12.793,2023-05-09 16:58:12.8,-7,2
2023-05-09 16:58:12.859,2023-05-09 16:58:12.8,59,2
2023-05-09 16:58:13.024,2023-05-09 16:58:13.0,24,2
2023-05-09 16:58:13.024,2023-05-09 16:58:13.0,24,2
2023-05-09 16:58:13.125,2023-05-09 16:58:13.2,-75,2
2023-05-09 16:58:13.189,2023-05-09 16:58:13.2,-11,2
2023-05-09 16:58:13.357,2023-05-09 16:58:13.4,-43,2
2023-05-09 16:58:13.421,2023-05-09 16:58:13.4,21,2
2023-05-09 16:58:13.554,2023-05-09 16:58:13.6,-46,2
2023-05-09 16:58:13.619,2023-05-09 16:58:13.6,19,2
2023-05-09 16:58:13.718,2023-05-09 16:58:13.8,-82,2
2023-05-09 16:58:13.817,2023-05-09 16:58:13.8,17,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.0,214,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.0,214,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.2,14,2
2023-05-09 16:58:14.214,2023-05-09 16:58:14.2,14,2
2023-05-09 16:58:14.38,2023-05-09 16:58:14.4,-20,2
2023-05-09 16:58:14.413,2023-05-09 16:58:14.4,13,2
2023-05-09 16:58:14.528,2023-05-09 16:58:14.6,-72,2
2023-05-09 16:58:14.629,2023-05-09 16:58:14.6,29,2
2023-05-09 16:58:14.713,2023-05-09 16:58:14.8,-87,2
2023-05-09 16:58:14.861,2023-05-09 16:58:14.8,61,2
2023-05-09 16:58:15.026,2023-05-09 16:58:15.0,26,2
2023-05-09 16:58:15.026,2023-05-09 16:58:15.0,26,2
2023-05-09 16:58:15.158,2023-05-09 16:58:15.2,-42,2
2023-05-09 16:58:15.224,2023-05-09 16:58:15.2,24,2
2023-05-09 16:58:15.328,2023-05-09 16:58:15.4,-72,2
2023-05-09 16:58:15.524,2023-05-09 16:58:15.4,124,2
2023-05-09 16:58:15.59,2023-05-09 16:58:15.6,-10,2
2023-05-09 16:58:15.691,2023-05-09 16:58:15.6,91,2
2023-05-09 16:58:15.821,2023-05-09 16:58:15.8,21,2
2023-05-09 16:58:15.821,2023-05-09 16:58:15.8,21,2
2023-05-09 16:58:16.057,2023-05-09 16:58:16.0,57,2
2023-05-09 16:58:16.057,2023-05-09 16:58:16.0,57,2
2023-05-09 16:58:16.196,2023-05-09 16:58:16.2,-4,2
2023-05-09 16:58:16.283,2023-05-09 16:58:16.2,83,2
2023-05-09 16:58:16.348,2023-05-09 16:58:16.4,-52,2
2023-05-09 16:58:16.449,2023-05-09 16:58:16.4,49,2
2023-05-09 16:58:16.549,2023-05-09 16:58:16.6,-51,2
2023-05-09 16:58:16.648,2023-05-09 16:58:16.6,48,2
2023-05-09 16:58:16.783,2023-05-09 16:58:16.8,-17,2
2023-05-09 16:58:16.865,2023-05-09 16:58:16.8,65,2
2023-05-09 16:58:17.028,2023-05-09 16:58:17.0,28,2
2023-05-09 16:58:17.06,2023-05-09 16:58:17.0,60,2
2023-05-09 16:58:17.194,2023-05-09 16:58:17.2,-6,2
2023-05-09 16:58:17.294,2023-05-09 16:58:17.2,94,2
