Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-05-09 17:15:55.369,2023-05-09 17:15:55.4,-31,2
2023-05-09 17:15:55.463,2023-05-09 17:15:55.4,63,2
2023-05-09 17:15:55.565,2023-05-09 17:15:55.6,-35,2
2023-05-09 17:15:55.632,2023-05-09 17:15:55.6,32,2
2023-05-09 17:15:55.765,2023-05-09 17:15:55.8,-35,2
2023-05-09 17:15:55.83,2023-05-09 17:15:55.8,30,2
2023-05-09 17:15:56.065,2023-05-09 17:15:56.0,65,2
2023-05-09 17:15:56.065,2023-05-09 17:15:56.0,65,2
2023-05-09 17:15:56.199,2023-05-09 17:15:56.2,-1,2
2023-05-09 17:15:56.267,2023-05-09 17:15:56.2,67,2
2023-05-09 17:15:56.368,2023-05-09 17:15:56.4,-32,2
2023-05-09 17:15:56.437,2023-05-09 17:15:56.4,37,2
2023-05-09 17:15:56.535,2023-05-09 17:15:56.6,-65,2
2023-05-09 17:15:56.638,2023-05-09 17:15:56.6,38,2
2023-05-09 17:15:56.733,2023-05-09 17:15:56.8,-67,2
2023-05-09 17:15:56.9,2023-05-09 17:15:56.8,100,2
2023-05-09 17:15:57.069,2023-05-09 17:15:57.0,69,2
2023-05-09 17:15:57.1,2023-05-09 17:15:57.0,100,2
2023-05-09 17:15:57.17,2023-05-09 17:15:57.2,-30,2
2023-05-09 17:15:57.236,2023-05-09 17:15:57.2,36,2
2023-05-09 17:15:57.402,2023-05-09 17:15:57.4,2,2
2023-05-09 17:15:57.436,2023-05-09 17:15:57.4,36,2
2023-05-09 17:15:57.571,2023-05-09 17:15:57.6,-29,2
2023-05-09 17:15:57.769,2023-05-09 17:15:57.8,-31,2
2023-05-09 17:15:57.837,2023-05-09 17:15:57.8,37,2
2023-05-09 17:15:58.041,2023-05-09 17:15:58.0,41,2
2023-05-09 17:15:58.136,2023-05-09 17:15:58.0,136,2
2023-05-09 17:15:58.204,2023-05-09 17:15:58.2,4,2
2023-05-09 17:15:58.308,2023-05-09 17:15:58.2,108,2
2023-05-09 17:15:58.373,2023-05-09 17:15:58.4,-27,2
2023-05-09 17:15:58.442,2023-05-09 17:15:58.4,42,2
2023-05-09 17:15:58.706,2023-05-09 17:15:58.6,106,2
2023-05-09 17:15:58.706,2023-05-09 17:15:58.6,106,2
2023-05-09 17:15:58.772,2023-05-09 17:15:58.8,-28,2
2023-05-09 17:15:58.839,2023-05-09 17:15:58.8,39,2
2023-05-09 17:15:59.041,2023-05-09 17:15:59.0,41,2
2023-05-09 17:15:59.041,2023-05-09 17:15:59.0,41,2
2023-05-09 17:15:59.174,2023-05-09 17:15:59.2,-26,2
2023-05-09 17:15:59.442,2023-05-09 17:15:59.2,242,2
2023-05-09 17:15:59.608,2023-05-09 17:15:59.4,208,2
2023-05-09 17:15:59.709,2023-05-09 17:15:59.4,309,2
