Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-26 17:00:40.761,2023-04-26 17:00:40.684,77
2023-04-26 17:00:41.76,2023-04-26 17:00:41.684,76
2023-04-26 17:00:42.762,2023-04-26 17:00:42.683,79
2023-04-26 17:00:43.766,2023-04-26 17:00:43.684,82
2023-04-26 17:00:45.164,2023-04-26 17:00:45.083,81
2023-04-26 17:00:46.168,2023-04-26 17:00:46.083,85
2023-04-26 17:00:47.187,2023-04-26 17:00:47.083,104
2023-04-26 17:00:48.179,2023-04-26 17:00:48.083,96
2023-04-26 17:00:49.177,2023-04-26 17:00:49.08,97
2023-04-26 17:00:50.222,2023-04-26 17:00:50.081,141
2023-04-26 17:00:51.223,2023-04-26 17:00:51.08,143
2023-04-26 17:00:52.225,2023-04-26 17:00:52.081,144
2023-04-26 17:00:53.162,2023-04-26 17:00:53.081,81
2023-04-26 17:00:54.189,2023-04-26 17:00:54.08,109
2023-04-26 17:00:55.164,2023-04-26 17:00:55.08,84
2023-04-26 17:00:56.171,2023-04-26 17:00:56.081,90
2023-04-26 17:00:57.165,2023-04-26 17:00:57.081,84
2023-04-26 17:00:58.241,2023-04-26 17:00:58.081,160
2023-04-26 17:00:59.171,2023-04-26 17:00:59.081,90
2023-04-26 17:01:00.176,2023-04-26 17:01:00.081,95
2023-04-26 17:01:01.175,2023-04-26 17:01:01.08,95
2023-04-26 17:01:02.175,2023-04-26 17:01:02.08,95
2023-04-26 17:01:03.229,2023-04-26 17:01:03.081,148
2023-04-26 17:01:04.226,2023-04-26 17:01:04.081,145
2023-04-26 17:01:05.217,2023-04-26 17:01:05.081,136
2023-04-26 17:01:06.228,2023-04-26 17:01:06.081,147
2023-04-26 17:01:07.229,2023-04-26 17:01:07.081,148
2023-04-26 17:01:08.228,2023-04-26 17:01:08.08,148
2023-04-26 17:01:09.231,2023-04-26 17:01:09.08,151
2023-04-26 17:01:10.173,2023-04-26 17:01:10.08,93
2023-04-26 17:01:11.199,2023-04-26 17:01:11.081,118
2023-04-26 17:01:12.167,2023-04-26 17:01:12.081,86
2023-04-26 17:01:13.177,2023-04-26 17:01:13.08,97
2023-04-26 17:01:14.171,2023-04-26 17:01:14.08,91
2023-04-26 17:01:15.212,2023-04-26 17:01:15.081,131
2023-04-26 17:01:16.252,2023-04-26 17:01:16.08,172
2023-04-26 17:01:17.18,2023-04-26 17:01:17.081,99
2023-04-26 17:01:18.218,2023-04-26 17:01:18.081,137
2023-04-26 17:01:19.238,2023-04-26 17:01:19.08,158
2023-04-26 17:01:20.195,2023-04-26 17:01:20.08,115
2023-04-26 17:01:21.166,2023-04-26 17:01:21.081,85
2023-04-26 17:01:22.163,2023-04-26 17:01:22.08,83
2023-04-26 17:01:23.158,2023-04-26 17:01:23.08,78
2023-04-26 17:01:24.172,2023-04-26 17:01:24.081,91
2023-04-26 17:01:25.177,2023-04-26 17:01:25.081,96
2023-04-26 17:01:26.171,2023-04-26 17:01:26.081,90
2023-04-26 17:01:27.21,2023-04-26 17:01:27.081,129
