Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-04-27 09:20:04.236,46.0655813,11.0970125,329.85,0.78,0.92,null
STON,2023-04-27 09:20:04.236,46.065613189,11.096892481166666,1.193944,118.379986,-0.203956,1
SMAR,2023-04-27 09:20:04.28,46.0655815,11.0970192,329.75,0.85,0.95,null
SMAR,2023-04-27 09:20:04.31,46.0655815,11.0970192,329.82,0.88,0.93,null
SMAR,2023-04-27 09:20:04.345,46.0655815,11.0970192,329.86,0.88,0.9,null
STON,2023-04-27 09:20:04.345,46.065612836166665,11.096892410166667,1.193944,118.379986,-0.203956,1
SMAR,2023-04-27 09:20:04.374,46.0655815,11.0970192,329.92,1.01,0.81,null
STON,2023-04-27 09:20:04.374,46.065612836166665,11.096892410166667,1.193944,118.379986,-0.203956,1
SMAR,2023-04-27 09:20:04.407,46.0655815,11.0970192,329.95,1.02,0.83,null
SMAR,2023-04-27 09:20:04.441,46.0655815,11.0970192,329.97,1.08,0.85,null
STON,2023-04-27 09:20:04.441,46.065612836166665,11.096892410166667,1.194304,118.392307,-0.203391,1
SMAR,2023-04-27 09:20:04.477,46.0655815,11.0970192,329.96,1.06,0.89,null
SMAR,2023-04-27 09:20:04.506,46.0655815,11.0970192,329.93,1.06,0.89,null
SMAR,2023-04-27 09:20:04.542,46.0655815,11.0970192,329.92,1.07,0.88,null
SMAR,2023-04-27 09:20:04.574,46.0655815,11.0970192,329.9,1.09,0.87,null
SMAR,2023-04-27 09:20:04.613,46.0655815,11.0970192,329.88,1.1,0.87,null
SMAR,2023-04-27 09:20:04.639,46.0655815,11.0970192,329.89,1.1,0.87,null
SMAR,2023-04-27 09:20:04.677,46.0655815,11.0970192,329.91,1.12,0.87,null
SMAR,2023-04-27 09:20:04.708,46.0655815,11.0970192,329.92,1.11,0.89,null
STON,2023-04-27 09:20:04.708,46.065612836166665,11.096892410166667,1.195967,118.387203,-0.204535,1
SMAR,2023-04-27 09:20:04.738,46.0655815,11.0970192,329.92,1.13,0.91,null
SMAR,2023-04-27 09:20:04.771,46.0655815,11.0970192,329.9,1.14,0.9,null
SMAR,2023-04-27 09:20:04.812,46.0655815,11.0970192,329.88,1.13,0.89,null
SMAR,2023-04-27 09:20:04.838,46.0655815,11.0970192,329.87,1.11,0.89,null
SMAR,2023-04-27 09:20:04.879,46.0655815,11.0970192,329.91,1.12,0.87,null
SMAR,2023-04-27 09:20:04.912,46.0655815,11.0970192,329.92,1.14,0.86,null
SMAR,2023-04-27 09:20:04.945,46.0655815,11.0970192,329.92,1.15,0.85,null
SMAR,2023-04-27 09:20:04.972,46.0655815,11.0970192,329.93,1.13,0.84,null
SMAR,2023-04-27 09:20:05.014,46.0655815,11.0970192,329.94,1.13,0.82,null
SMAR,2023-04-27 09:20:05.039,46.0655815,11.0970192,329.95,1.16,0.8,null
SMAR,2023-04-27 09:20:05.075,46.0655815,11.0970192,329.95,1.15,0.8,null
SMAR,2023-04-27 09:20:05.113,46.0655815,11.0970192,329.95,1.12,0.79,null
STON,2023-04-27 09:20:05.113,46.065612836166665,11.096892410166667,1.19521,118.411663,-0.20162,1
SMAR,2023-04-27 09:20:05.147,46.0655815,11.0970192,329.93,1.07,0.79,null
SMAR,2023-04-27 09:20:05.181,46.0655815,11.0970192,329.92,1.06,0.76,null
STON,2023-04-27 09:20:05.181,46.065612836166665,11.096892410166667,1.195718,118.4161,-0.20293,1
SMAR,2023-04-27 09:20:05.215,46.0655815,11.0970192,329.94,1.1,0.72,null
SMAR,2023-04-27 09:20:05.239,46.0655817,11.0970205,329.98,1.12,0.68,null
SMAR,2023-04-27 09:20:05.28,46.0655817,11.0970205,330.0,1.12,0.66,null
STON,2023-04-27 09:20:05.28,46.065612836166665,11.096892410166667,1.199,118.379238,-0.203001,1
SMAR,2023-04-27 09:20:05.311,46.0655817,11.0970205,330.0,1.07,0.66,null
SMAR,2023-04-27 09:20:05.348,46.0655817,11.0970205,329.99,1.04,0.68,null
STON,2023-04-27 09:20:05.348,46.065612471,11.0968923445,1.199,118.379238,-0.203001,1
STON,2023-04-27 09:20:05.348,46.065612471,11.0968923445,1.199,118.379238,-0.203001,1
SMAR,2023-04-27 09:20:05.383,46.0655817,11.0970205,329.99,1.06,0.67,null
SMAR,2023-04-27 09:20:05.41,46.0655817,11.0970205,329.99,1.05,0.66,null
SMAR,2023-04-27 09:20:05.443,46.0655817,11.0970205,329.98,0.99,0.65,null
SMAR,2023-04-27 09:20:05.484,46.0655817,11.0970205,329.95,0.97,0.65,null
STON,2023-04-27 09:20:05.484,46.065612471,11.0968923445,1.194857,118.387043,-0.201776,1
SMAR,2023-04-27 09:20:05.517,46.0655817,11.0970205,329.99,0.97,0.64,null
SMAR,2023-04-27 09:20:05.545,46.0655817,11.0970205,330.02,0.96,0.63,null
SMAR,2023-04-27 09:20:05.575,46.0655817,11.0970205,330.01,0.95,0.61,null
SMAR,2023-04-27 09:20:05.615,46.0655817,11.0970205,330.03,0.94,0.62,null
SMAR,2023-04-27 09:20:05.643,46.0655817,11.0970205,330.05,0.92,0.63,null
SMAR,2023-04-27 09:20:05.677,46.0655817,11.0970205,330.04,0.9,0.64,null
SMAR,2023-04-27 09:20:05.711,46.0655817,11.0970205,330.05,0.87,0.66,null
STON,2023-04-27 09:20:05.711,46.065612471,11.0968923445,1.194136,118.401104,-0.204527,1
