Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-04-27 09:17:40.704,46.0657087,11.0969851,310.03,348.19,0.57,null
SMAR,2023-04-27 09:17:40.728,46.0657087,11.0969851,310.13,348.36,0.52,null
SMAR,2023-04-27 09:17:40.761,46.0657087,11.0969851,310.31,348.46,0.6,null
SMAR,2023-04-27 09:17:40.794,46.0657087,11.0969851,310.55,348.5,0.71,null
SMAR,2023-04-27 09:17:40.828,46.0657087,11.0969851,310.84,348.58,0.77,null
SMAR,2023-04-27 09:17:40.864,46.0657087,11.0969851,310.84,348.96,0.65,null
SMAR,2023-04-27 09:17:40.897,46.0657087,11.0969851,310.8,349.3,0.63,null
SMAR,2023-04-27 09:17:40.929,46.0657087,11.0969851,310.86,349.41,0.66,null
SMAR,2023-04-27 09:17:40.961,46.0657087,11.0969851,310.87,349.4,0.62,null
SMAR,2023-04-27 09:17:40.998,46.0657087,11.0969851,310.8,349.39,0.52,null
SMAR,2023-04-27 09:17:41.029,46.0657087,11.0969851,310.81,349.35,0.42,null
SMAR,2023-04-27 09:17:41.06,46.0657087,11.0969851,310.82,349.43,0.26,null
SMAR,2023-04-27 09:17:41.093,46.0657087,11.0969851,310.79,349.49,0.13,null
SMAR,2023-04-27 09:17:41.126,46.0657087,11.0969851,310.76,349.49,0.08,null
SMAR,2023-04-27 09:17:41.176,46.0657087,11.0969851,310.66,349.53,0.04,null
SMAR,2023-04-27 09:17:41.209,46.0657087,11.0969851,310.64,349.6,0.02,null
STON,2023-04-27 09:17:41.209,46.06572678533333,11.096974849333334,-1.329434,278.206329,0.064877,1
SMAR,2023-04-27 09:17:41.241,46.0657051,11.096988,310.67,349.6,0.1,null
SMAR,2023-04-27 09:17:41.274,46.0657051,11.096988,310.62,349.65,0.15,null
STON,2023-04-27 09:17:41.274,46.06572678533333,11.096974849333334,-1.328639,278.191757,0.06281,1
SMAR,2023-04-27 09:17:41.308,46.0657051,11.096988,310.55,349.72,0.22,null
SMAR,2023-04-27 09:17:41.34,46.0657051,11.096988,310.45,349.78,0.27,null
STON,2023-04-27 09:17:41.34,46.065726789,11.096974856166666,-1.328639,278.191757,0.06281,1
STON,2023-04-27 09:17:41.34,46.065726789,11.096974856166666,-1.328639,278.191757,0.06281,1
SMAR,2023-04-27 09:17:41.384,46.0657051,11.096988,310.35,349.85,0.29,null
SMAR,2023-04-27 09:17:41.407,46.0657051,11.096988,310.33,349.95,0.28,null
SMAR,2023-04-27 09:17:41.44,46.0657051,11.096988,310.31,350.02,0.27,null
SMAR,2023-04-27 09:17:41.473,46.0657051,11.096988,310.19,350.11,0.26,null
STON,2023-04-27 09:17:41.473,46.065726789,11.096974856166666,-1.32789,278.19912,0.060409,1
SMAR,2023-04-27 09:17:41.507,46.0657051,11.096988,310.08,350.18,0.21,null
SMAR,2023-04-27 09:17:41.539,46.0657051,11.096988,310.12,350.29,0.03,null
SMAR,2023-04-27 09:17:41.581,46.0657051,11.096988,310.42,350.39,359.79,null
SMAR,2023-04-27 09:17:41.606,46.0657051,11.096988,310.75,350.4,359.66,null
SMAR,2023-04-27 09:17:41.639,46.0657051,11.096988,311.07,350.33,359.59,null
STON,2023-04-27 09:17:41.639,46.065726789,11.096974856166666,-1.327216,278.234413,0.058032,1
SMAR,2023-04-27 09:17:41.675,46.0657051,11.096988,311.42,350.26,359.58,null
SMAR,2023-04-27 09:17:41.705,46.0657051,11.096988,311.77,350.13,359.67,null
SMAR,2023-04-27 09:17:41.737,46.0657051,11.096988,311.93,350.12,359.65,null
SMAR,2023-04-27 09:17:41.771,46.0657051,11.096988,311.98,350.31,359.46,null
SMAR,2023-04-27 09:17:41.804,46.0657051,11.096988,311.99,350.63,359.15,null
