Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-12 12:38:39.604,2023-04-12 12:38:39.522,82
2023-04-12 12:38:54.605,2023-04-12 12:38:54.559,46
2023-04-12 12:39:04.767,2023-04-12 12:39:04.62,147
2023-04-12 12:39:05.769,2023-04-12 12:39:05.62,149
2023-04-12 12:39:06.706,2023-04-12 12:39:06.62,86
2023-04-12 12:39:07.706,2023-04-12 12:39:07.62,86
2023-04-12 12:39:08.716,2023-04-12 12:39:08.62,96
2023-04-12 12:39:09.673,2023-04-12 12:39:09.591,82
2023-04-12 12:39:10.756,2023-04-12 12:39:10.62,136
2023-04-12 12:39:11.753,2023-04-12 12:39:11.62,133
2023-04-12 12:39:12.76,2023-04-12 12:39:12.62,140
2023-04-12 12:39:13.753,2023-04-12 12:39:13.62,133
2023-04-12 12:39:14.733,2023-04-12 12:39:14.62,113
2023-04-12 12:39:15.762,2023-04-12 12:39:15.62,142
2023-04-12 12:39:16.729,2023-04-12 12:39:16.62,109
2023-04-12 12:39:17.758,2023-04-12 12:39:17.621,137
2023-04-12 12:39:18.71,2023-04-12 12:39:18.62,90
2023-04-12 12:39:19.7,2023-04-12 12:39:19.62,80
2023-04-12 12:39:20.742,2023-04-12 12:39:20.62,122
2023-04-12 12:39:21.707,2023-04-12 12:39:21.62,87
2023-04-12 12:39:22.71,2023-04-12 12:39:22.62,90
2023-04-12 12:39:23.787,2023-04-12 12:39:23.621,166
2023-04-12 12:39:24.759,2023-04-12 12:39:24.62,139
2023-04-12 12:39:25.718,2023-04-12 12:39:25.62,98
2023-04-12 12:39:26.761,2023-04-12 12:39:26.62,141
2023-04-12 12:39:27.756,2023-04-12 12:39:27.62,136
2023-04-12 12:39:28.78,2023-04-12 12:39:28.62,160
2023-04-12 12:39:29.757,2023-04-12 12:39:29.621,136
2023-04-12 12:39:30.79,2023-04-12 12:39:30.62,170
2023-04-12 12:39:31.777,2023-04-12 12:39:31.62,157
2023-04-12 12:39:32.708,2023-04-12 12:39:32.62,88
2023-04-12 12:39:33.707,2023-04-12 12:39:33.62,87
2023-04-12 12:39:34.716,2023-04-12 12:39:34.62,96
2023-04-12 12:39:35.788,2023-04-12 12:39:35.62,168
2023-04-12 12:39:36.709,2023-04-12 12:39:36.62,89
2023-04-12 12:39:37.75,2023-04-12 12:39:37.62,130
2023-04-12 12:39:38.751,2023-04-12 12:39:38.62,131
2023-04-12 12:39:39.749,2023-04-12 12:39:39.62,129
2023-04-12 12:39:40.756,2023-04-12 12:39:40.62,136
2023-04-12 12:39:41.766,2023-04-12 12:39:41.62,146
2023-04-12 12:39:42.743,2023-04-12 12:39:42.62,123
2023-04-12 12:39:43.701,2023-04-12 12:39:43.62,81
2023-04-12 12:39:44.71,2023-04-12 12:39:44.62,90
2023-04-12 12:39:45.699,2023-04-12 12:39:45.62,79
2023-04-12 12:39:46.754,2023-04-12 12:39:46.62,134
2023-04-12 12:39:47.705,2023-04-12 12:39:47.62,85
2023-04-12 12:39:48.749,2023-04-12 12:39:48.62,129
2023-04-12 12:39:49.709,2023-04-12 12:39:49.62,89
2023-04-12 12:39:50.715,2023-04-12 12:39:50.62,95
2023-04-12 12:39:51.753,2023-04-12 12:39:51.62,133
2023-04-12 12:39:52.758,2023-04-12 12:39:52.62,138
2023-04-12 12:39:53.759,2023-04-12 12:39:53.62,139
2023-04-12 12:39:54.767,2023-04-12 12:39:54.62,147
2023-04-12 12:39:54.828,2023-04-12 12:39:54.714,114
2023-04-12 12:39:55.761,2023-04-12 12:39:55.62,141
2023-04-12 12:39:56.772,2023-04-12 12:39:56.62,152
2023-04-12 12:39:57.7,2023-04-12 12:39:57.62,80
2023-04-12 12:39:58.702,2023-04-12 12:39:58.62,82
2023-04-12 12:39:59.751,2023-04-12 12:39:59.62,131
2023-04-12 12:40:00.738,2023-04-12 12:40:00.62,118
2023-04-12 12:40:01.712,2023-04-12 12:40:01.62,92
2023-04-12 12:40:02.712,2023-04-12 12:40:02.62,92
2023-04-12 12:40:03.712,2023-04-12 12:40:03.62,92
2023-04-12 12:40:04.748,2023-04-12 12:40:04.62,128
2023-04-12 12:40:05.758,2023-04-12 12:40:05.62,138
2023-04-12 12:40:06.759,2023-04-12 12:40:06.62,139
2023-04-12 12:40:07.758,2023-04-12 12:40:07.62,138
