,Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston,Stonex_status
0,2023-06-12 15:00:02.732,2023-06-12 14:59:27.2,-1.32,-111.187149,112.50714905245208,2
1,2023-06-12 15:00:02.773,2023-06-12 14:59:27.4,-1.31,-111.187149,112.49714894277956,2
2,2023-06-12 15:00:02.808,2023-06-12 14:59:27.4,-1.2,-111.187149,112.38714904768372,2
3,2023-06-12 15:00:02.831,2023-06-12 14:59:27.4,-1.13,-111.467148,112.59714799523162,2
4,2023-06-12 15:00:02.875,2023-06-12 14:59:27.4,-1.2,-111.467148,112.66714804768372,2
5,2023-06-12 15:00:02.907,2023-06-12 14:59:27.4,-1.38,-111.467148,112.84714799523162,2
6,2023-06-12 15:00:02.948,2023-06-12 14:59:27.6,-1.52,-111.467148,112.98714798092652,2
7,2023-06-12 15:00:02.964,2023-06-12 14:59:27.6,-1.61,-111.467148,113.07714801430512,2
8,2023-06-12 15:00:03.008,2023-06-12 14:59:27.6,-1.68,-111.467148,113.14714794754792,2
9,2023-06-12 15:00:03.044,2023-06-12 14:59:27.6,-1.73,-111.721916,113.45191601907348,2
10,2023-06-12 15:00:03.074,2023-06-12 14:59:27.6,-1.83,-111.721916,113.55191604291534,2
11,2023-06-12 15:00:03.107,2023-06-12 14:59:27.6,-1.97,-111.721916,113.69191602861022,2
12,2023-06-12 15:00:03.142,2023-06-12 14:59:27.8,-2.19,-111.721916,113.91191605722044,2
13,2023-06-12 15:00:03.174,2023-06-12 14:59:27.8,-2.52,-111.721916,114.2419159809265,2
14,2023-06-12 15:00:03.208,2023-06-12 14:59:27.8,-2.96,-112.418724,115.37872403814696,2
15,2023-06-12 15:00:03.24,2023-06-12 14:59:27.8,-3.54,-112.418724,115.95872396185302,2
16,2023-06-12 15:00:03.276,2023-06-12 14:59:27.8,-4.15,-112.418724,116.56872409536744,2
17,2023-06-12 15:00:03.307,2023-06-12 14:59:27.8,-4.62,-112.418724,117.03872388555908,2
18,2023-06-12 15:00:03.341,2023-06-12 14:59:27.8,-4.92,-112.418724,117.33872407629394,2
19,2023-06-12 15:00:03.374,2023-06-12 14:59:27.8,-5.2,-112.418724,117.61872380926512,2
20,2023-06-12 15:00:03.413,2023-06-12 14:59:28.0,-5.71,-115.167587,120.87758703814696,2
21,2023-06-12 15:00:03.446,2023-06-12 14:59:28.0,-6.57,-115.167587,121.73758717166136,2
22,2023-06-12 15:00:03.478,2023-06-12 14:59:28.0,-7.67,-115.167587,122.83758707629394,2
23,2023-06-12 15:00:03.509,2023-06-12 14:59:28.0,-8.9,-115.167587,124.06758661853029,2
24,2023-06-12 15:00:03.547,2023-06-12 14:59:28.0,-10.19,-115.167587,125.3575865803833,2
25,2023-06-12 15:00:03.575,2023-06-12 14:59:28.2,-11.39,-115.167587,126.55758734332277,2
