,Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston,Stonex_status
0,2023-06-12 14:59:18.703,2023-06-12 14:58:43.2,1.3,-109.503311,108.20331104768373,2
1,2023-06-12 14:59:18.744,2023-06-12 14:58:43.4,1.41,-109.503311,108.0933110333786,2
2,2023-06-12 14:59:18.777,2023-06-12 14:58:43.4,1.41,-109.503311,108.0933110333786,2
3,2023-06-12 14:59:18.812,2023-06-12 14:58:43.4,1.35,-109.503311,108.15331097615814,2
4,2023-06-12 14:59:18.844,2023-06-12 14:58:43.4,1.36,-109.503311,108.14331098569488,2
5,2023-06-12 14:59:18.876,2023-06-12 14:58:43.4,1.39,-109.503311,108.11331101430513,2
6,2023-06-12 14:59:18.926,2023-06-12 14:58:43.4,1.35,-109.503311,108.15331097615814,2
7,2023-06-12 14:59:18.958,2023-06-12 14:58:43.4,1.38,-109.503311,108.12331100476835,2
8,2023-06-12 14:59:18.993,2023-06-12 14:58:43.4,1.38,-109.503311,108.12331100476835,2
9,2023-06-12 14:59:19.028,2023-06-12 14:58:43.4,1.38,-109.503311,108.12331100476835,2
10,2023-06-12 14:59:19.057,2023-06-12 14:58:43.4,1.39,-109.503311,108.11331101430513,2
11,2023-06-12 14:59:19.095,2023-06-12 14:58:43.4,1.39,-109.503311,108.11331101430513,2
12,2023-06-12 14:59:19.131,2023-06-12 14:58:43.4,1.37,-109.582085,108.21208499523163,2
13,2023-06-12 14:59:19.159,2023-06-12 14:58:43.4,1.38,-109.582085,108.20208500476838,2
14,2023-06-12 14:59:19.205,2023-06-12 14:58:43.6,1.39,-109.582085,108.19208501430512,2
15,2023-06-12 14:59:19.227,2023-06-12 14:58:43.6,1.36,-109.582085,108.22208498569488,2
16,2023-06-12 14:59:19.256,2023-06-12 14:58:43.8,1.3,-109.538902,108.23890204768372,2
17,2023-06-12 14:59:19.292,2023-06-12 14:58:43.8,1.24,-109.538902,108.29890199046324,2
18,2023-06-12 14:59:19.323,2023-06-12 14:58:43.8,1.18,-109.538902,108.35890205245208,2
19,2023-06-12 14:59:19.369,2023-06-12 14:58:43.8,1.14,-109.538902,108.39890201430512,2
20,2023-06-12 14:59:19.391,2023-06-12 14:58:43.8,1.14,-109.538902,108.39890201430512,2
21,2023-06-12 14:59:19.429,2023-06-12 14:58:43.8,1.16,-109.538902,108.3789020333786,2
22,2023-06-12 14:59:19.475,2023-06-12 14:58:43.8,1.15,-109.538902,108.38890202384184,2
23,2023-06-12 14:59:19.502,2023-06-12 14:58:44.0,1.1,-109.688103,108.58810297615814,2
24,2023-06-12 14:59:19.532,2023-06-12 14:58:44.0,0.99,-109.688103,108.69810299046324,2
25,2023-06-12 14:59:19.565,2023-06-12 14:58:44.0,0.86,-109.688103,108.82810298569488,2
26,2023-06-12 14:59:19.597,2023-06-12 14:58:44.0,0.72,-109.688103,108.96810297138975,2
27,2023-06-12 14:59:19.629,2023-06-12 14:58:44.2,0.48,-109.688103,109.20810301072883,2
28,2023-06-12 14:59:19.659,2023-06-12 14:58:44.2,0.0,-109.852776,109.852776,2
29,2023-06-12 14:59:19.691,2023-06-12 14:58:44.2,-0.8,-109.852776,110.65277601192092,2
30,2023-06-12 14:59:19.728,2023-06-12 14:58:44.2,-1.94,-109.852776,111.79277605722046,2
31,2023-06-12 14:59:19.76,2023-06-12 14:58:44.2,-3.25,-109.852776,113.102776,2
32,2023-06-12 14:59:19.794,2023-06-12 14:58:44.2,-4.68,-109.852776,114.53277582833864,2
33,2023-06-12 14:59:19.832,2023-06-12 14:58:44.4,-6.15,-109.852776,116.00277609536744,2
34,2023-06-12 14:59:19.882,2023-06-12 14:58:44.4,-7.6,-109.852776,117.45277590463256,2
35,2023-06-12 14:59:19.916,2023-06-12 14:58:44.4,-9.1,-109.852776,118.95277638146972,2
36,2023-06-12 14:59:19.929,2023-06-12 14:58:44.4,-10.73,-109.852776,120.58277554223632,2
37,2023-06-12 14:59:19.962,2023-06-12 14:58:44.4,-12.61,-109.852776,122.46277565667724,2
38,2023-06-12 14:59:20.004,2023-06-12 14:58:44.6,-14.74,-109.852776,124.59277577111816,2
39,2023-06-12 14:59:20.024,2023-06-12 14:58:44.6,-17.1,-109.852776,126.95277638146972,2
