Input,Time,Latitude,Longitude,Altitude,Pitch,Yaw,Roll,Stonex_status
SMAR,2023-06-12 15:00:02.732,46.0898161,11.1155522,250.34865538857156,-3.44,-1.32,0.89,null
STON,2023-06-12 15:00:02.732,46.08980580833333,11.11553027,198.212,-2.588285,-111.187149,1.513847,2
SMAR,2023-06-12 15:00:02.773,46.0898161,11.1155522,250.34865538857156,-3.41,-1.31,0.9,null
SMAR,2023-06-12 15:00:02.808,46.0898161,11.1155522,250.34865538857156,-3.42,-1.2,0.92,null
STON,2023-06-12 15:00:02.808,46.08980580833333,11.11553027,198.212,-2.470503,-111.467148,1.744131,2
SMAR,2023-06-12 15:00:02.831,46.0898161,11.1155522,250.34865538857156,-3.43,-1.13,0.94,null
SMAR,2023-06-12 15:00:02.875,46.0898161,11.1155522,250.34865538857156,-3.44,-1.2,0.96,null
SMAR,2023-06-12 15:00:02.907,46.0898161,11.1155522,250.34865538857156,-3.46,-1.38,0.98,null
STON,2023-06-12 15:00:02.907,46.089805825,11.115530288333334,198.214,-2.470503,-111.467148,1.744131,2
SMAR,2023-06-12 15:00:02.948,46.0898161,11.1155522,250.34865538857156,-3.48,-1.52,0.99,null
SMAR,2023-06-12 15:00:02.964,46.0898161,11.1155522,250.34865538857156,-3.5,-1.61,1.0,null
SMAR,2023-06-12 15:00:03.008,46.0898161,11.1155522,250.34865538857156,-3.51,-1.68,1.0,null
STON,2023-06-12 15:00:03.008,46.089805825,11.115530288333334,198.214,-2.490182,-111.721916,1.86291,2
SMAR,2023-06-12 15:00:03.044,46.0898161,11.1155522,250.34865538857156,-3.54,-1.73,1.0,null
SMAR,2023-06-12 15:00:03.074,46.0898161,11.1155522,250.34865538857156,-3.57,-1.83,1.0,null
SMAR,2023-06-12 15:00:03.107,46.0898161,11.1155522,250.34865538857156,-3.58,-1.97,0.99,null
STON,2023-06-12 15:00:03.107,46.08980579166667,11.115530345,198.215,-2.490182,-111.721916,1.86291,2
SMAR,2023-06-12 15:00:03.142,46.0898161,11.1155522,250.34865538857156,-3.6,-2.19,0.97,null
SMAR,2023-06-12 15:00:03.174,46.0898161,11.1155522,250.34865538857156,-3.64,-2.52,0.96,null
STON,2023-06-12 15:00:03.174,46.08980579166667,11.115530345,198.215,-2.601584,-112.418724,1.852143,2
SMAR,2023-06-12 15:00:03.208,46.0898161,11.1155522,250.34865538857156,-3.66,-2.96,0.93,null
SMAR,2023-06-12 15:00:03.24,46.0898161,11.1155522,250.34865538857156,-3.68,-3.54,0.92,null
SMAR,2023-06-12 15:00:03.276,46.0898161,11.1155522,250.34865538857156,-3.71,-4.15,0.91,null
SMAR,2023-06-12 15:00:03.307,46.0898161,11.1155522,250.34865538857156,-3.71,-4.62,0.89,null
SMAR,2023-06-12 15:00:03.341,46.0898161,11.1155522,250.34865538857156,-3.76,-4.92,0.87,null
SMAR,2023-06-12 15:00:03.374,46.0898163,11.1155522,250.32421443651754,-3.83,-5.2,0.84,null
STON,2023-06-12 15:00:03.374,46.08980570166667,11.115530371666667,198.214,-2.601584,-112.418724,1.852143,2
