Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-11 12:13:47.48,2023-04-11 12:13:47.391,89
2023-04-11 12:13:51.486,2023-04-11 12:13:51.407,79
2023-04-11 12:13:52.511,2023-04-11 12:13:52.407,104
2023-04-11 12:13:53.618,2023-04-11 12:13:53.544,74
2023-04-11 12:13:54.646,2023-04-11 12:13:54.544,102
2023-04-11 12:13:55.62,2023-04-11 12:13:55.544,76
2023-04-11 12:13:56.615,2023-04-11 12:13:56.544,71
2023-04-11 12:13:57.648,2023-04-11 12:13:57.544,104
2023-04-11 12:13:58.656,2023-04-11 12:13:58.544,112
2023-04-11 12:13:59.63,2023-04-11 12:13:59.545,85
2023-04-11 12:14:00.623,2023-04-11 12:14:00.544,79
2023-04-11 12:14:01.66,2023-04-11 12:14:01.544,116
2023-04-11 12:14:02.495,2023-04-11 12:14:02.41,85
2023-04-11 12:14:02.666,2023-04-11 12:14:02.544,122
2023-04-11 12:14:03.632,2023-04-11 12:14:03.544,88
2023-04-11 12:14:04.704,2023-04-11 12:14:04.544,160
2023-04-11 12:14:05.669,2023-04-11 12:14:05.544,125
2023-04-11 12:14:06.672,2023-04-11 12:14:06.544,128
2023-04-11 12:14:07.673,2023-04-11 12:14:07.544,129
2023-04-11 12:14:08.677,2023-04-11 12:14:08.545,132
2023-04-11 12:14:09.62,2023-04-11 12:14:09.544,76
2023-04-11 12:14:10.623,2023-04-11 12:14:10.544,79
2023-04-11 12:14:11.666,2023-04-11 12:14:11.544,122
2023-04-11 12:14:12.62,2023-04-11 12:14:12.544,76
2023-04-11 12:14:13.629,2023-04-11 12:14:13.544,85
2023-04-11 12:14:14.63,2023-04-11 12:14:14.544,86
2023-04-11 12:14:15.681,2023-04-11 12:14:15.544,137
2023-04-11 12:14:16.667,2023-04-11 12:14:16.544,123
2023-04-11 12:14:17.532,2023-04-11 12:14:17.446,86
2023-04-11 12:14:17.668,2023-04-11 12:14:17.544,124
2023-04-11 12:14:18.668,2023-04-11 12:14:18.544,124
2023-04-11 12:14:19.706,2023-04-11 12:14:19.544,162
2023-04-11 12:14:20.678,2023-04-11 12:14:20.544,134
2023-04-11 12:14:21.709,2023-04-11 12:14:21.544,165
2023-04-11 12:14:22.616,2023-04-11 12:14:22.544,72
2023-04-11 12:14:23.663,2023-04-11 12:14:23.544,119
2023-04-11 12:14:24.624,2023-04-11 12:14:24.544,80
2023-04-11 12:14:25.662,2023-04-11 12:14:25.544,118
2023-04-11 12:14:26.622,2023-04-11 12:14:26.544,78
2023-04-11 12:14:27.662,2023-04-11 12:14:27.544,118
2023-04-11 12:14:28.651,2023-04-11 12:14:28.544,107
2023-04-11 12:14:29.611,2023-04-11 12:14:29.544,67
2023-04-11 12:14:30.619,2023-04-11 12:14:30.544,75
2023-04-11 12:14:31.614,2023-04-11 12:14:31.544,70
2023-04-11 12:14:32.573,2023-04-11 12:14:32.487,86
2023-04-11 12:14:33.618,2023-04-11 12:14:33.544,74
2023-04-11 12:14:34.646,2023-04-11 12:14:34.544,102
2023-04-11 12:14:35.652,2023-04-11 12:14:35.544,108
2023-04-11 12:14:36.613,2023-04-11 12:14:36.544,69
2023-04-11 12:14:37.613,2023-04-11 12:14:37.544,69
2023-04-11 12:14:38.656,2023-04-11 12:14:38.544,112
2023-04-11 12:14:39.657,2023-04-11 12:14:39.544,113
2023-04-11 12:14:40.63,2023-04-11 12:14:40.544,86
2023-04-11 12:14:41.664,2023-04-11 12:14:41.544,120
2023-04-11 12:14:42.633,2023-04-11 12:14:42.544,89
2023-04-11 12:14:43.662,2023-04-11 12:14:43.544,118
2023-04-11 12:14:44.668,2023-04-11 12:14:44.544,124
2023-04-11 12:14:45.679,2023-04-11 12:14:45.544,135
2023-04-11 12:14:46.611,2023-04-11 12:14:46.544,67
2023-04-11 12:14:47.658,2023-04-11 12:14:47.533,125
2023-04-11 12:14:48.61,2023-04-11 12:14:48.544,66
2023-04-11 12:14:49.654,2023-04-11 12:14:49.544,110
2023-04-11 12:14:50.62,2023-04-11 12:14:50.544,76
2023-04-11 12:14:51.657,2023-04-11 12:14:51.544,113
2023-04-11 12:14:52.656,2023-04-11 12:14:52.544,112
2023-04-11 12:14:53.694,2023-04-11 12:14:53.544,150
2023-04-11 12:14:54.662,2023-04-11 12:14:54.544,118
2023-04-11 12:14:55.706,2023-04-11 12:14:55.544,162
2023-04-11 12:14:56.653,2023-04-11 12:14:56.544,109
2023-04-11 12:14:57.648,2023-04-11 12:14:57.544,104
2023-04-11 12:14:58.654,2023-04-11 12:14:58.544,110
