Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-04-11 15:30:31.665,2023-04-11 15:30:31.542,123
2023-04-11 15:30:32.664,2023-04-11 15:30:32.542,122
2023-04-11 15:30:33.118,2023-04-11 15:30:32.995,123
2023-04-11 15:30:33.618,2023-04-11 15:30:33.541,77
2023-04-11 15:30:34.645,2023-04-11 15:30:34.541,104
2023-04-11 15:30:35.688,2023-04-11 15:30:35.541,147
2023-04-11 15:30:36.647,2023-04-11 15:30:36.541,106
2023-04-11 15:30:37.65,2023-04-11 15:30:37.541,109
2023-04-11 15:30:38.652,2023-04-11 15:30:38.541,111
2023-04-11 15:30:39.647,2023-04-11 15:30:39.541,106
2023-04-11 15:30:40.623,2023-04-11 15:30:40.541,82
2023-04-11 15:30:41.611,2023-04-11 15:30:41.541,70
2023-04-11 15:30:42.637,2023-04-11 15:30:42.541,96
2023-04-11 15:30:43.697,2023-04-11 15:30:43.541,156
2023-04-11 15:30:44.621,2023-04-11 15:30:44.541,80
2023-04-11 15:30:45.617,2023-04-11 15:30:45.541,76
2023-04-11 15:30:46.678,2023-04-11 15:30:46.542,136
2023-04-11 15:30:47.618,2023-04-11 15:30:47.541,77
2023-04-11 15:30:48.114,2023-04-11 15:30:48.032,82
2023-04-11 15:30:48.693,2023-04-11 15:30:48.541,152
2023-04-11 15:30:49.621,2023-04-11 15:30:49.541,80
2023-04-11 15:30:50.665,2023-04-11 15:30:50.541,124
2023-04-11 15:30:51.726,2023-04-11 15:30:51.541,185
2023-04-11 15:30:52.616,2023-04-11 15:30:52.541,75
2023-04-11 15:30:53.647,2023-04-11 15:30:53.541,106
2023-04-11 15:30:54.625,2023-04-11 15:30:54.541,84
2023-04-11 15:30:55.694,2023-04-11 15:30:55.541,153
2023-04-11 15:30:56.62,2023-04-11 15:30:56.541,79
2023-04-11 15:30:57.753,2023-04-11 15:30:57.542,211
2023-04-11 15:30:58.638,2023-04-11 15:30:58.541,97
2023-04-11 15:30:59.719,2023-04-11 15:30:59.541,178
2023-04-11 15:31:00.642,2023-04-11 15:31:00.541,101
2023-04-11 15:31:01.652,2023-04-11 15:31:01.541,111
2023-04-11 15:31:02.612,2023-04-11 15:31:02.541,71
2023-04-11 15:31:03.187,2023-04-11 15:31:03.061,126
2023-04-11 15:31:03.688,2023-04-11 15:31:03.541,147
2023-04-11 15:31:04.649,2023-04-11 15:31:04.541,108
2023-04-11 15:31:05.641,2023-04-11 15:31:05.541,100
2023-04-11 15:31:06.622,2023-04-11 15:31:06.541,81
