Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-06-12 14:59:41.393,2023-06-12 14:59:41.339,54
2023-06-12 14:59:42.392,2023-06-12 14:59:42.341,51
2023-06-12 14:59:43.381,2023-06-12 14:59:43.369,12
2023-06-12 14:59:44.338,2023-06-12 14:59:44.344,-6
2023-06-12 14:59:45.339,2023-06-12 14:59:45.345,-6
2023-06-12 14:59:46.34,2023-06-12 14:59:46.345,-5
2023-06-12 14:59:47.343,2023-06-12 14:59:47.331,12
2023-06-12 14:59:48.377,2023-06-12 14:59:48.362,15
2023-06-12 14:59:49.383,2023-06-12 14:59:49.37,13
