Android_time,Smartphone_gnss_time,Delta_Android-GNSS
2023-06-12 14:59:19.391,2023-06-12 14:59:19.337,54
2023-06-12 14:59:20.394,2023-06-12 14:59:20.352,42
2023-06-12 14:59:21.346,2023-06-12 14:59:21.352,-6
2023-06-12 14:59:22.35,2023-06-12 14:59:22.341,9
2023-06-12 14:59:23.365,2023-06-12 14:59:23.345,20
2023-06-12 14:59:24.333,2023-06-12 14:59:24.335,-2
2023-06-12 14:59:25.368,2023-06-12 14:59:25.358,10
2023-06-12 14:59:26.337,2023-06-12 14:59:26.344,-7
2023-06-12 14:59:27.37,2023-06-12 14:59:27.356,14
2023-06-12 14:59:28.389,2023-06-12 14:59:28.356,33
2023-06-12 14:59:29.377,2023-06-12 14:59:29.362,15
2023-06-12 14:59:30.339,2023-06-12 14:59:30.345,-6
2023-06-12 14:59:31.341,2023-06-12 14:59:31.355,-14
2023-06-12 14:59:32.341,2023-06-12 14:59:32.342,-1
2023-06-12 14:59:33.343,2023-06-12 14:59:33.336,7
2023-06-12 14:59:34.344,2023-06-12 14:59:34.354,-10
2023-06-12 14:59:35.343,2023-06-12 14:59:35.353,-10
