Android_time,Stonex_gnss_time,ARCore_yaw,Stonex_yaw,Delta_yaw_AR_Ston,Stonex_status
2023-05-09 16:58:12.598,2023-05-09 16:58:12.6,-155.88,-40.605587,-115.2744178828125,2
2023-05-09 16:58:12.617,2023-05-09 16:58:12.6,-155.86,-40.605587,-115.25441361035156,2
2023-05-09 16:58:12.659,2023-05-09 16:58:12.6,-155.82,-40.58802,-115.23198732421875,2
2023-05-09 16:58:12.693,2023-05-09 16:58:12.6,-155.74,-40.58802,-115.15198549316406,2
2023-05-09 16:58:12.726,2023-05-09 16:58:12.6,-155.68,-40.58802,-115.09197267578125,2
2023-05-09 16:58:12.762,2023-05-09 16:58:12.6,-155.63,-40.58802,-115.0419848828125,2
2023-05-09 16:58:12.793,2023-05-09 16:58:12.6,-155.58,-40.58802,-114.99198183105469,2
2023-05-09 16:58:12.826,2023-05-09 16:58:12.8,-155.5,-40.58802,-114.91198,2
2023-05-09 16:58:12.859,2023-05-09 16:58:12.8,-155.4,-40.58802,-114.81197389648437,2
2023-05-09 16:58:12.897,2023-05-09 16:58:12.8,-155.33,-40.889225,-114.44077683105468,2
2023-05-09 16:58:12.924,2023-05-09 16:58:12.8,-155.3,-40.889225,-114.4107780517578,2
2023-05-09 16:58:12.948,2023-05-09 16:58:12.8,-155.31,-40.889225,-114.42077255859374,2
2023-05-09 16:58:12.99,2023-05-09 16:58:12.8,-155.37,-40.889225,-114.48077011718749,2
2023-05-09 16:58:13.024,2023-05-09 16:58:12.8,-155.46,-40.889225,-114.57078171386718,2
2023-05-09 16:58:13.056,2023-05-09 16:58:13.0,-155.54,-41.076935,-114.46305828613282,2
2023-05-09 16:58:13.091,2023-05-09 16:58:13.0,-155.61,-41.076935,-114.53306561035157,2
2023-05-09 16:58:13.125,2023-05-09 16:58:13.0,-155.67,-41.076935,-114.59306316894532,2
2023-05-09 16:58:13.157,2023-05-09 16:58:13.2,-155.7,-41.076935,-114.6230619482422,2
2023-05-09 16:58:13.189,2023-05-09 16:58:13.2,-155.73,-41.076935,-114.65306072753907,2
2023-05-09 16:58:13.23,2023-05-09 16:58:13.2,-155.75,-40.728054,-115.021946,2
2023-05-09 16:58:13.257,2023-05-09 16:58:13.2,-155.74,-40.728054,-115.01195149316406,2
2023-05-09 16:58:13.29,2023-05-09 16:58:13.2,-155.7,-40.728054,-114.97194294824219,2
2023-05-09 16:58:13.323,2023-05-09 16:58:13.2,-155.65,-40.728054,-114.92193989648437,2
2023-05-09 16:58:13.357,2023-05-09 16:58:13.2,-155.63,-40.728054,-114.9019508828125,2
2023-05-09 16:58:13.388,2023-05-09 16:58:13.4,-155.66,-40.728054,-114.93194966210937,2
2023-05-09 16:58:13.421,2023-05-09 16:58:13.4,-155.77,-40.728054,-115.04195027246094,2
2023-05-09 16:58:13.453,2023-05-09 16:58:13.4,-155.92,-40.807308,-115.1126901689453,2
2023-05-09 16:58:13.487,2023-05-09 16:58:13.4,-156.06,-40.807308,-115.25268955859374,2
2023-05-09 16:58:13.52,2023-05-09 16:58:13.4,-156.13,-40.807308,-115.3226968828125,2
2023-05-09 16:58:13.554,2023-05-09 16:58:13.4,-156.11,-40.807308,-115.30269261035156,2
2023-05-09 16:58:13.586,2023-05-09 16:58:13.6,-156.04,-40.807308,-115.2326852861328,2
2023-05-09 16:58:13.619,2023-05-09 16:58:13.6,-156.0,-40.807308,-115.192692,2
2023-05-09 16:58:13.654,2023-05-09 16:58:13.6,-156.0,-40.429348,-115.570652,2
2023-05-09 16:58:13.688,2023-05-09 16:58:13.6,-156.0,-40.429348,-115.570652,2
2023-05-09 16:58:13.718,2023-05-09 16:58:13.6,-155.99,-40.429348,-115.56065749316406,2
2023-05-09 16:58:13.751,2023-05-09 16:58:13.8,-155.94,-40.429348,-115.51065444140625,2
2023-05-09 16:58:13.785,2023-05-09 16:58:13.8,-155.87,-40.429348,-115.4406471171875,2
2023-05-09 16:58:13.817,2023-05-09 16:58:13.8,-155.83,-40.429348,-115.40065383105468,2
2023-05-09 16:58:13.85,2023-05-09 16:58:13.8,-155.84,-40.598118,-115.24187833789063,2
2023-05-09 16:58:13.885,2023-05-09 16:58:13.8,-155.9,-40.598118,-115.30187589648438,2
2023-05-09 16:58:13.916,2023-05-09 16:58:13.8,-155.99,-40.598118,-115.39188749316406,2
2023-05-09 16:58:13.958,2023-05-09 16:58:13.8,-156.1,-40.598118,-115.50188810351563,2
2023-05-09 16:58:13.982,2023-05-09 16:58:13.8,-156.23,-40.598118,-115.63187772753906,2
2023-05-09 16:58:14.015,2023-05-09 16:58:13.8,-156.41,-40.598118,-115.81188566210938,2
2023-05-09 16:58:14.051,2023-05-09 16:58:13.8,-156.69,-40.598118,-116.09188444140625,2
2023-05-09 16:58:14.083,2023-05-09 16:58:13.8,-157.04,-40.598118,-116.44187528613281,2
2023-05-09 16:58:14.115,2023-05-09 16:58:13.8,-157.36,-40.598118,-116.76188261035156,2
2023-05-09 16:58:14.15,2023-05-09 16:58:13.8,-157.58,-40.598118,-116.98188383105469,2
2023-05-09 16:58:14.182,2023-05-09 16:58:13.8,-157.72,-40.598118,-117.12188322070313,2
2023-05-09 16:58:14.214,2023-05-09 16:58:13.8,-157.87,-40.598118,-117.2718771171875,2
2023-05-09 16:58:14.247,2023-05-09 16:58:14.2,-158.25,-38.758015,-119.491985,2
2023-05-09 16:58:14.281,2023-05-09 16:58:14.2,-158.7,-38.758015,-119.94198194824219,2
2023-05-09 16:58:14.313,2023-05-09 16:58:14.2,-159.33,-38.758015,-120.57198683105469,2
2023-05-09 16:58:14.347,2023-05-09 16:58:14.2,-160.09,-38.758015,-121.33198133789062,2
2023-05-09 16:58:14.38,2023-05-09 16:58:14.2,-160.89,-38.758015,-122.13198438964844,2
2023-05-09 16:58:14.413,2023-05-09 16:58:14.4,-161.72,-38.758015,-122.96198622070312,2
2023-05-09 16:58:14.464,2023-05-09 16:58:14.4,-162.56,-35.700085,-126.85991255859375,2
2023-05-09 16:58:14.497,2023-05-09 16:58:14.4,-163.43,-35.700085,-127.72990767578125,2
2023-05-09 16:58:14.528,2023-05-09 16:58:14.4,-164.33,-35.700085,-128.6299168310547,2
2023-05-09 16:58:14.562,2023-05-09 16:58:14.6,-165.18,-35.700085,-129.47990767578125,2
2023-05-09 16:58:14.595,2023-05-09 16:58:14.6,-165.97,-35.700085,-130.26991622070312,2
