Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-27 09:17:38.976,2023-04-27 09:17:38.6,376,1,7+17+38.6
2023-04-27 09:17:39.08,2023-04-27 09:17:38.8,280,1,7+17+38.8
2023-04-27 09:17:39.273,2023-04-27 09:17:39.0,273,1,7+17+39.0
2023-04-27 09:17:39.405,2023-04-27 09:17:39.0,405,1,7+17+39.0
2023-04-27 09:17:39.405,2023-04-27 09:17:39.0,405,1,7+17+39.0
2023-04-27 09:17:39.471,2023-04-27 09:17:39.2,271,1,7+17+39.2
2023-04-27 09:17:39.704,2023-04-27 09:17:39.4,304,1,7+17+39.4
2023-04-27 09:17:39.933,2023-04-27 09:17:39.6,333,1,7+17+39.6
2023-04-27 09:17:40.098,2023-04-27 09:17:39.8,298,1,7+17+39.8
2023-04-27 09:17:40.298,2023-04-27 09:17:40.0,298,1,7+17+40.0
2023-04-27 09:17:40.332,2023-04-27 09:17:40.0,332,1,7+17+40.0
2023-04-27 09:17:40.332,2023-04-27 09:17:40.0,332,1,7+17+40.0
2023-04-27 09:17:40.464,2023-04-27 09:17:40.2,264,1,7+17+40.2
2023-04-27 09:17:40.662,2023-04-27 09:17:40.4,262,1,7+17+40.4
2023-04-27 09:17:41.209,2023-04-27 09:17:40.8,409,1,7+17+40.8
2023-04-27 09:17:41.274,2023-04-27 09:17:41.0,274,1,7+17+41.0
2023-04-27 09:17:41.34,2023-04-27 09:17:41.0,340,1,7+17+41.0
2023-04-27 09:17:41.34,2023-04-27 09:17:41.0,340,1,7+17+41.0
2023-04-27 09:17:41.473,2023-04-27 09:17:41.2,273,1,7+17+41.2
2023-04-27 09:17:41.639,2023-04-27 09:17:41.4,239,1,7+17+41.4
2023-04-27 09:17:41.904,2023-04-27 09:17:41.6,304,1,7+17+41.6
2023-04-27 09:17:42.072,2023-04-27 09:17:41.8,272,1,7+17+41.8
2023-04-27 09:17:42.303,2023-04-27 09:17:42.0,303,1,7+17+42.0
2023-04-27 09:17:42.404,2023-04-27 09:17:42.0,404,1,7+17+42.0
2023-04-27 09:17:42.404,2023-04-27 09:17:42.0,404,1,7+17+42.0
2023-04-27 09:17:42.701,2023-04-27 09:17:42.4,301,1,7+17+42.4
