Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-27 09:20:04.236,2023-04-27 09:20:04.0,236,1,7+20+4.0
2023-04-27 09:20:04.345,2023-04-27 09:20:04.0,345,1,7+20+4.0
2023-04-27 09:20:04.374,2023-04-27 09:20:04.0,374,1,7+20+4.0
2023-04-27 09:20:04.441,2023-04-27 09:20:04.2,241,1,7+20+4.2
2023-04-27 09:20:04.708,2023-04-27 09:20:04.4,308,1,7+20+4.4
2023-04-27 09:20:05.113,2023-04-27 09:20:04.6,513,1,7+20+4.6
2023-04-27 09:20:05.181,2023-04-27 09:20:04.8,381,1,7+20+4.8
2023-04-27 09:20:05.28,2023-04-27 09:20:05.0,280,1,7+20+5.0
2023-04-27 09:20:05.348,2023-04-27 09:20:05.0,348,1,7+20+5.0
2023-04-27 09:20:05.348,2023-04-27 09:20:05.0,348,1,7+20+5.0
2023-04-27 09:20:05.484,2023-04-27 09:20:05.2,284,1,7+20+5.2
2023-04-27 09:20:05.711,2023-04-27 09:20:05.4,311,1,7+20+5.4
2023-04-27 09:20:05.874,2023-04-27 09:20:05.6,274,1,7+20+5.6
2023-04-27 09:20:06.085,2023-04-27 09:20:05.8,285,1,7+20+5.8
2023-04-27 09:20:06.284,2023-04-27 09:20:06.0,284,1,7+20+6.0
2023-04-27 09:20:06.347,2023-04-27 09:20:06.0,347,1,7+20+6.0
2023-04-27 09:20:06.38,2023-04-27 09:20:06.0,380,1,7+20+6.0
2023-04-27 09:20:06.517,2023-04-27 09:20:06.2,317,1,7+20+6.2
2023-04-27 09:20:06.749,2023-04-27 09:20:06.4,349,1,7+20+6.4
2023-04-27 09:20:06.895,2023-04-27 09:20:06.6,295,1,7+20+6.6
2023-04-27 09:20:07.152,2023-04-27 09:20:06.8,352,1,7+20+6.8
2023-04-27 09:20:07.311,2023-04-27 09:20:07.0,311,1,7+20+7.0
2023-04-27 09:20:07.485,2023-04-27 09:20:07.0,485,1,7+20+7.0
2023-04-27 09:20:07.485,2023-04-27 09:20:07.0,485,1,7+20+7.0
2023-04-27 09:20:07.485,2023-04-27 09:20:07.2,285,1,7+20+7.2
2023-04-27 09:20:07.75,2023-04-27 09:20:07.4,350,1,7+20+7.4
2023-04-27 09:20:07.882,2023-04-27 09:20:07.6,282,1,7+20+7.6
2023-04-27 09:20:08.151,2023-04-27 09:20:07.8,351,1,7+20+7.8
2023-04-27 09:20:08.38,2023-04-27 09:20:08.0,380,1,7+20+8.0
2023-04-27 09:20:08.38,2023-04-27 09:20:08.0,380,1,7+20+8.0
2023-04-27 09:20:08.38,2023-04-27 09:20:08.0,380,1,7+20+8.0
2023-04-27 09:20:08.487,2023-04-27 09:20:08.2,287,1,7+20+8.2
2023-04-27 09:20:08.762,2023-04-27 09:20:08.4,362,1,7+20+8.4
