Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status
2023-05-02 13:07:59.436,2023-05-02 13:07:59.8,-364,2
2023-05-02 13:07:59.646,2023-05-02 13:08:00.0,-354,2
2023-05-02 13:07:59.748,2023-05-02 13:08:00.2,-452,2
2023-05-02 13:07:59.914,2023-05-02 13:08:00.4,-486,2
2023-05-02 13:08:00.021,2023-05-02 13:08:00.4,-379,2
2023-05-02 13:08:00.113,2023-05-02 13:08:00.6,-487,2
2023-05-02 13:08:00.311,2023-05-02 13:08:00.6,-289,2
2023-05-02 13:08:00.311,2023-05-02 13:08:00.8,-489,2
2023-05-02 13:08:00.442,2023-05-02 13:08:00.8,-358,2
2023-05-02 13:08:00.64,2023-05-02 13:08:01.0,-360,2
2023-05-02 13:08:00.739,2023-05-02 13:08:01.2,-461,2
2023-05-02 13:08:00.843,2023-05-02 13:08:01.2,-357,2
2023-05-02 13:08:00.977,2023-05-02 13:08:01.4,-423,2
2023-05-02 13:08:00.977,2023-05-02 13:08:01.4,-423,2
2023-05-02 13:08:01.146,2023-05-02 13:08:01.6,-454,2
2023-05-02 13:08:01.415,2023-05-02 13:08:01.6,-185,2
2023-05-02 13:08:01.446,2023-05-02 13:08:01.8,-354,2
2023-05-02 13:08:01.446,2023-05-02 13:08:01.8,-354,2
2023-05-02 13:08:01.681,2023-05-02 13:08:02.0,-319,2
2023-05-02 13:08:01.779,2023-05-02 13:08:02.2,-421,2
2023-05-02 13:08:01.779,2023-05-02 13:08:02.2,-421,2
2023-05-02 13:08:01.982,2023-05-02 13:08:02.4,-418,2
2023-05-02 13:08:01.982,2023-05-02 13:08:02.4,-418,2
2023-05-02 13:08:02.122,2023-05-02 13:08:02.6,-478,2
2023-05-02 13:08:02.182,2023-05-02 13:08:02.6,-418,2
2023-05-02 13:08:02.312,2023-05-02 13:08:02.8,-488,2
2023-05-02 13:08:02.416,2023-05-02 13:08:02.8,-384,2
2023-05-02 13:08:02.583,2023-05-02 13:08:03.0,-417,2
2023-05-02 13:08:02.647,2023-05-02 13:08:03.0,-353,2
2023-05-02 13:08:02.717,2023-05-02 13:08:03.2,-483,2
2023-05-02 13:08:02.779,2023-05-02 13:08:03.2,-421,2
2023-05-02 13:08:02.932,2023-05-02 13:08:03.4,-468,2
2023-05-02 13:08:03.151,2023-05-02 13:08:03.6,-449,2
2023-05-02 13:08:03.209,2023-05-02 13:08:03.6,-391,2
2023-05-02 13:08:03.319,2023-05-02 13:08:03.8,-481,2
2023-05-02 13:08:03.58,2023-05-02 13:08:04.0,-420,2
2023-05-02 13:08:03.644,2023-05-02 13:08:04.0,-356,2
2023-05-02 13:08:03.779,2023-05-02 13:08:04.2,-421,2
2023-05-02 13:08:03.846,2023-05-02 13:08:04.2,-354,2
2023-05-02 13:08:03.91,2023-05-02 13:08:04.4,-490,2
2023-05-02 13:08:04.017,2023-05-02 13:08:04.4,-383,2
2023-05-02 13:08:04.112,2023-05-02 13:08:04.6,-488,2
2023-05-02 13:08:04.252,2023-05-02 13:08:04.6,-348,2
2023-05-02 13:08:04.316,2023-05-02 13:08:04.8,-484,2
2023-05-02 13:08:04.423,2023-05-02 13:08:04.8,-377,2
2023-05-02 13:08:04.552,2023-05-02 13:08:05.0,-448,2
2023-05-02 13:08:04.651,2023-05-02 13:08:05.0,-349,2
2023-05-02 13:08:04.724,2023-05-02 13:08:05.2,-476,2
2023-05-02 13:08:04.818,2023-05-02 13:08:05.2,-382,2
2023-05-02 13:08:04.918,2023-05-02 13:08:05.4,-482,2
2023-05-02 13:08:04.985,2023-05-02 13:08:05.4,-415,2
2023-05-02 13:08:05.12,2023-05-02 13:08:05.6,-480,2
2023-05-02 13:08:05.191,2023-05-02 13:08:05.6,-409,2
2023-05-02 13:08:05.328,2023-05-02 13:08:05.8,-472,2
2023-05-02 13:08:05.458,2023-05-02 13:08:05.8,-342,2
2023-05-02 13:08:05.657,2023-05-02 13:08:06.0,-343,2
2023-05-02 13:08:05.657,2023-05-02 13:08:06.0,-343,2
2023-05-02 13:08:05.784,2023-05-02 13:08:06.2,-416,2
2023-05-02 13:08:05.784,2023-05-02 13:08:06.2,-416,2
2023-05-02 13:08:06.026,2023-05-02 13:08:06.4,-374,2
2023-05-02 13:08:06.053,2023-05-02 13:08:06.4,-347,2
2023-05-02 13:08:06.116,2023-05-02 13:08:06.6,-484,2
2023-05-02 13:08:06.255,2023-05-02 13:08:06.6,-345,2
2023-05-02 13:08:06.384,2023-05-02 13:08:06.8,-416,2
2023-05-02 13:08:06.861,2023-05-02 13:08:06.8,61,2
2023-05-02 13:08:06.927,2023-05-02 13:08:07.0,-73,2
2023-05-02 13:08:06.927,2023-05-02 13:08:07.0,-73,2
2023-05-02 13:08:06.988,2023-05-02 13:08:07.2,-212,2
2023-05-02 13:08:07.094,2023-05-02 13:08:07.2,-106,2
2023-05-02 13:08:07.094,2023-05-02 13:08:07.4,-306,2
2023-05-02 13:08:07.094,2023-05-02 13:08:07.4,-306,2
2023-05-02 13:08:07.165,2023-05-02 13:08:07.6,-435,2
2023-05-02 13:08:07.266,2023-05-02 13:08:07.6,-334,2
2023-05-02 13:08:07.367,2023-05-02 13:08:07.8,-433,2
2023-05-02 13:08:07.5,2023-05-02 13:08:07.8,-300,2
2023-05-02 13:08:07.628,2023-05-02 13:08:08.0,-372,2
2023-05-02 13:08:07.628,2023-05-02 13:08:08.0,-372,2
2023-05-02 13:08:07.729,2023-05-02 13:08:08.2,-471,2
2023-05-02 13:08:07.86,2023-05-02 13:08:08.2,-340,2
2023-05-02 13:08:07.971,2023-05-02 13:08:08.4,-429,2
2023-05-02 13:08:08.07,2023-05-02 13:08:08.4,-330,2
2023-05-02 13:08:08.2,2023-05-02 13:08:08.6,-400,2
2023-05-02 13:08:08.269,2023-05-02 13:08:08.6,-331,2
2023-05-02 13:08:08.368,2023-05-02 13:08:08.8,-432,2
2023-05-02 13:08:08.469,2023-05-02 13:08:08.8,-331,2
2023-05-02 13:08:08.631,2023-05-02 13:08:09.0,-369,2
2023-05-02 13:08:08.631,2023-05-02 13:08:09.0,-369,2
2023-05-02 13:08:08.839,2023-05-02 13:08:09.2,-361,2
2023-05-02 13:08:08.876,2023-05-02 13:08:09.2,-324,2
2023-05-02 13:08:09.0,2023-05-02 13:08:09.4,-400,2
2023-05-02 13:08:09.176,2023-05-02 13:08:09.6,-424,2
2023-05-02 13:08:09.253,2023-05-02 13:08:09.6,-347,2
2023-05-02 13:08:09.365,2023-05-02 13:08:09.8,-435,2
2023-05-02 13:08:09.434,2023-05-02 13:08:09.8,-366,2
2023-05-02 13:08:09.661,2023-05-02 13:08:10.0,-339,2
2023-05-02 13:08:09.661,2023-05-02 13:08:10.0,-339,2
2023-05-02 13:08:09.768,2023-05-02 13:08:10.2,-432,2
2023-05-02 13:08:09.87,2023-05-02 13:08:10.2,-330,2
2023-05-02 13:08:09.936,2023-05-02 13:08:10.4,-464,2
2023-05-02 13:08:10.038,2023-05-02 13:08:10.4,-362,2
2023-05-02 13:08:10.207,2023-05-02 13:08:10.6,-393,2
2023-05-02 13:08:10.25,2023-05-02 13:08:10.6,-350,2
2023-05-02 13:08:10.373,2023-05-02 13:08:10.8,-427,2
2023-05-02 13:08:10.442,2023-05-02 13:08:10.8,-358,2
2023-05-02 13:08:10.671,2023-05-02 13:08:11.0,-329,2
2023-05-02 13:08:10.671,2023-05-02 13:08:11.0,-329,2
2023-05-02 13:08:10.767,2023-05-02 13:08:11.2,-433,2
2023-05-02 13:08:10.835,2023-05-02 13:08:11.2,-365,2
2023-05-02 13:08:11.168,2023-05-02 13:08:11.4,-232,2
2023-05-02 13:08:11.168,2023-05-02 13:08:11.4,-232,2
2023-05-02 13:08:11.168,2023-05-02 13:08:11.6,-432,2
2023-05-02 13:08:11.272,2023-05-02 13:08:11.6,-328,2
2023-05-02 13:08:11.364,2023-05-02 13:08:11.8,-436,2
2023-05-02 13:08:11.466,2023-05-02 13:08:11.8,-334,2
2023-05-02 13:08:11.667,2023-05-02 13:08:12.0,-333,2
2023-05-02 13:08:11.667,2023-05-02 13:08:12.0,-333,2
2023-05-02 13:08:11.731,2023-05-02 13:08:12.2,-469,2
2023-05-02 13:08:11.912,2023-05-02 13:08:12.2,-288,2
2023-05-02 13:08:12.276,2023-05-02 13:08:12.4,-124,2
2023-05-02 13:08:12.31,2023-05-02 13:08:12.4,-90,2
2023-05-02 13:08:12.31,2023-05-02 13:08:12.6,-290,2
2023-05-02 13:08:12.339,2023-05-02 13:08:12.6,-261,2
2023-05-02 13:08:12.37,2023-05-02 13:08:12.8,-430,2
2023-05-02 13:08:12.442,2023-05-02 13:08:12.8,-358,16
2023-05-02 13:08:12.636,2023-05-02 13:08:13.0,-364,16
2023-05-02 13:08:12.636,2023-05-02 13:08:13.0,-364,16
2023-05-02 13:08:12.772,2023-05-02 13:08:13.2,-428,16
2023-05-02 13:08:12.879,2023-05-02 13:08:13.2,-321,16
2023-05-02 13:08:12.978,2023-05-02 13:08:13.4,-422,16
2023-05-02 13:08:13.081,2023-05-02 13:08:13.4,-319,16
2023-05-02 13:08:13.172,2023-05-02 13:08:13.6,-428,16
2023-05-02 13:08:13.373,2023-05-02 13:08:13.8,-427,16
2023-05-02 13:08:13.441,2023-05-02 13:08:13.8,-359,16
2023-05-02 13:08:13.604,2023-05-02 13:08:14.0,-396,16
2023-05-02 13:08:13.746,2023-05-02 13:08:14.0,-254,16
2023-05-02 13:08:13.746,2023-05-02 13:08:14.2,-454,16
2023-05-02 13:08:13.917,2023-05-02 13:08:14.2,-283,16
2023-05-02 13:08:13.945,2023-05-02 13:08:14.4,-455,16
2023-05-02 13:08:14.014,2023-05-02 13:08:14.4,-386,16
2023-05-02 13:08:14.142,2023-05-02 13:08:14.6,-458,16
2023-05-02 13:08:14.35,2023-05-02 13:08:14.6,-250,16
2023-05-02 13:08:14.448,2023-05-02 13:08:14.8,-352,16
2023-05-02 13:08:14.48,2023-05-02 13:08:14.8,-320,16
2023-05-02 13:08:14.607,2023-05-02 13:08:15.0,-393,16
2023-05-02 13:08:14.607,2023-05-02 13:08:15.0,-393,16
2023-05-02 13:08:14.85,2023-05-02 13:08:15.2,-350,16
2023-05-02 13:08:14.85,2023-05-02 13:08:15.2,-350,16
2023-05-02 13:08:14.951,2023-05-02 13:08:15.4,-449,16
2023-05-02 13:08:15.051,2023-05-02 13:08:15.4,-349,16
2023-05-02 13:08:15.184,2023-05-02 13:08:15.6,-416,16
2023-05-02 13:08:15.245,2023-05-02 13:08:15.6,-355,16
2023-05-02 13:08:15.417,2023-05-02 13:08:15.8,-383,16
2023-05-02 13:08:15.478,2023-05-02 13:08:15.8,-322,16
2023-05-02 13:08:15.612,2023-05-02 13:08:16.0,-388,16
2023-05-02 13:08:15.644,2023-05-02 13:08:16.0,-356,16
2023-05-02 13:08:15.781,2023-05-02 13:08:16.2,-419,16
2023-05-02 13:08:15.911,2023-05-02 13:08:16.2,-289,16
2023-05-02 13:08:16.014,2023-05-02 13:08:16.4,-386,16
2023-05-02 13:08:16.086,2023-05-02 13:08:16.4,-314,16
2023-05-02 13:08:16.177,2023-05-02 13:08:16.6,-423,16
2023-05-02 13:08:16.213,2023-05-02 13:08:16.6,-387,16
2023-05-02 13:08:16.387,2023-05-02 13:08:16.8,-413,16
2023-05-02 13:08:16.446,2023-05-02 13:08:16.8,-354,16
2023-05-02 13:08:16.613,2023-05-02 13:08:17.0,-387,16
2023-05-02 13:08:16.648,2023-05-02 13:08:17.0,-352,16
2023-05-02 13:08:16.788,2023-05-02 13:08:17.2,-412,16
2023-05-02 13:08:16.822,2023-05-02 13:08:17.2,-378,16
2023-05-02 13:08:16.927,2023-05-02 13:08:17.4,-473,16
2023-05-02 13:08:17.054,2023-05-02 13:08:17.4,-346,16
2023-05-02 13:08:17.119,2023-05-02 13:08:17.6,-481,16
2023-05-02 13:08:17.185,2023-05-02 13:08:17.6,-415,16
2023-05-02 13:08:17.284,2023-05-02 13:08:17.8,-516,16
