Android_time,Stonex_gnss_time,ARCore_pitch,Stonex_pitch,Delta_pitch_AR_Ston,Stonex_status
2023-06-12 15:00:02.732,2023-06-12 14:59:27.4,-3.44,-2.588285,-0.851715057220459,2
2023-06-12 15:00:02.808,2023-06-12 14:59:27.4,-3.42,-2.470503,-0.9494970762939454,2
2023-06-12 15:00:02.907,2023-06-12 14:59:27.6,-3.46,-2.470503,-0.9894970381469728,2
2023-06-12 15:00:03.008,2023-06-12 14:59:27.6,-3.51,-2.490182,-1.019817990463257,2
2023-06-12 15:00:03.107,2023-06-12 14:59:27.8,-3.58,-2.490182,-1.0898179237060548,2
2023-06-12 15:00:03.174,2023-06-12 14:59:27.8,-3.64,-2.601584,-1.038416104904175,2
2023-06-12 15:00:03.374,2023-06-12 14:59:28.0,-3.83,-2.601584,-1.2284159237060548,2
2023-06-12 15:00:03.374,2023-06-12 14:59:28.0,-3.83,-2.733035,-1.0969649237060546,2
2023-06-12 15:00:03.547,2023-06-12 14:59:28.2,-3.99,-2.733035,-1.256965009536743,2
2023-06-12 15:00:03.608,2023-06-12 14:59:28.2,-4.05,-2.926194,-1.123806190734863,2
2023-06-12 15:00:03.742,2023-06-12 14:59:28.4,-4.35,-2.926194,-1.4238059046325682,2
2023-06-12 15:00:03.81,2023-06-12 14:59:28.4,-4.5,-3.266567,-1.2334329999999998,2
2023-06-12 15:00:03.943,2023-06-12 14:59:28.6,-4.84,-3.266567,-1.5734331525878904,2
2023-06-12 15:00:03.975,2023-06-12 14:59:28.6,-4.92,-3.715404,-1.2045960762939454,2
2023-06-12 15:00:04.145,2023-06-12 14:59:28.8,-5.19,-3.715404,-1.474596057220459,2
2023-06-12 15:00:04.204,2023-06-12 14:59:28.8,-5.2,-4.055774,-1.1442258092651363,2
2023-06-12 15:00:04.409,2023-06-12 14:59:29.0,-4.77,-4.055774,-0.7142259809265132,2
2023-06-12 15:00:04.468,2023-06-12 14:59:29.0,-4.59,-3.794482,-0.7955181525878907,2
2023-06-12 15:00:04.548,2023-06-12 14:59:29.2,-4.37,-3.794482,-0.5755178855590821,2
2023-06-12 15:00:04.745,2023-06-12 14:59:29.4,-3.88,-3.794482,-0.08551811444091806,2
2023-06-12 15:00:04.777,2023-06-12 14:59:29.4,-3.89,-2.680996,-1.2090041049041749,2
2023-06-12 15:00:04.943,2023-06-12 14:59:29.6,-3.57,-2.680996,-0.8890039332427979,2
2023-06-12 15:00:05.012,2023-06-12 14:59:29.6,-3.46,-2.358276,-1.1017240381469726,2
2023-06-12 15:00:05.144,2023-06-12 14:59:29.8,-3.32,-2.358276,-0.9617239332427978,2
2023-06-12 15:00:05.209,2023-06-12 14:59:29.8,-3.3,-2.093207,-1.2067929523162841,2
2023-06-12 15:00:05.445,2023-06-12 14:59:30.0,-3.11,-2.093207,-1.0167928950958252,2
2023-06-12 15:00:05.545,2023-06-12 14:59:30.0,-3.19,-1.865682,-1.324318057220459,2
2023-06-12 15:00:05.545,2023-06-12 14:59:30.2,-3.19,-1.865682,-1.324318057220459,2
2023-06-12 15:00:05.645,2023-06-12 14:59:30.2,-3.13,-1.977343,-1.152657114440918,2
2023-06-12 15:00:05.744,2023-06-12 14:59:30.4,-3.03,-1.977343,-1.0526569713897704,2
2023-06-12 15:00:05.812,2023-06-12 14:59:30.4,-2.85,-1.795495,-1.0545049046325683,2
2023-06-12 15:00:05.912,2023-06-12 14:59:30.6,-2.66,-1.795495,-0.8645050858306884,2
2023-06-12 15:00:06.01,2023-06-12 14:59:30.6,-2.38,-1.372379,-1.007621114440918,2
2023-06-12 15:00:06.111,2023-06-12 14:59:30.8,-1.96,-1.372379,-0.5876210381469726,2
2023-06-12 15:00:06.211,2023-06-12 14:59:30.8,-1.58,-0.624839,-0.9551610429153442,2
2023-06-12 15:00:06.411,2023-06-12 14:59:31.0,-0.84,0.116558,-0.9565579737739562,2
2023-06-12 15:00:06.445,2023-06-12 14:59:31.0,-0.72,0.116558,-0.8365580286102294,2
2023-06-12 15:00:06.541,2023-06-12 14:59:31.2,-0.36,0.116558,-0.47655801430511474,2
2023-06-12 15:00:06.61,2023-06-12 14:59:31.2,-0.17,0.809705,-0.9797050017881394,2
2023-06-12 15:00:06.714,2023-06-12 14:59:31.4,0.01,0.809705,-0.7997050002235174,2
2023-06-12 15:00:06.811,2023-06-12 14:59:31.4,0.18,1.251968,-1.0719679928474426,2
2023-06-12 15:00:06.914,2023-06-12 14:59:31.6,0.29,1.251968,-0.9619680083446502,2
2023-06-12 15:00:07.046,2023-06-12 14:59:31.6,0.29,1.482199,-1.1921990083446503,2
2023-06-12 15:00:07.111,2023-06-12 14:59:31.8,0.25,1.482199,-1.232199,2
2023-06-12 15:00:07.179,2023-06-12 14:59:31.8,0.15,1.385634,-1.2356339940395356,2
2023-06-12 15:00:07.545,2023-06-12 14:59:32.0,-0.27,1.385634,-1.655634010728836,2
2023-06-12 15:00:07.597,2023-06-12 14:59:32.2,-0.35,1.385634,-1.7356339940395356,2
2023-06-12 15:00:07.68,2023-06-12 14:59:32.2,-0.43,0.869184,-1.2991840071525573,2
2023-06-12 15:00:07.713,2023-06-12 14:59:32.4,-0.43,0.869184,-1.2991840071525573,2
2023-06-12 15:00:07.814,2023-06-12 14:59:32.4,-0.46,0.633681,-1.0936810083446504,2
