Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
STON,2023-04-04 12:33:34:168 GMT+02:00 2023,46.08979945,11.11550901,-0.31566,157.714844,-0.701326,1
STON,2023-04-04 12:33:34:251 GMT+02:00 2023,46.08979945,11.11550901,-0.50186,158.47612,-0.709648,1
STON,2023-04-04 12:33:34:351 GMT+02:00 2023,46.08979945,11.11550901,-0.510238,158.85321,-0.581484,1
SMAR,2023-04-04 12:33:34:671 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:34:730 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:33:34:749 GMT+02:00 2023,46.08979945,11.11550901,-0.521652,159.255081,-0.453192,1
SMAR,2023-04-04 12:33:34:755 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:33:34:787 GMT+02:00 2023,46.08979945,11.11550901,-0.583063,160.114944,-0.310423,1
SMAR,2023-04-04 12:33:34:810 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:33:34:837 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.583063,160.114944,-0.310423,1
SMAR,2023-04-04 12:33:34:851 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:33:34:860 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.583063,160.114944,-0.310423,1
SMAR,2023-04-04 12:33:34:876 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:33:34:884 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.577477,160.527191,-0.214585,1
SMAR,2023-04-04 12:33:34:909 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:34:956 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:34:984 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:35:002 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:35:035 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:35:071 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:35:103 GMT+02:00 2023,null,null,291.07,68.08,85.93,null
SMAR,2023-04-04 12:33:35:134 GMT+02:00 2023,null,null,290.98,67.79,85.95,null
SMAR,2023-04-04 12:33:35:167 GMT+02:00 2023,null,null,296.36,62.01,85.96,null
SMAR,2023-04-04 12:33:35:202 GMT+02:00 2023,null,null,296.37,62.06,85.95,null
SMAR,2023-04-04 12:33:35:234 GMT+02:00 2023,null,null,296.34,62.19,85.97,null
SMAR,2023-04-04 12:33:35:268 GMT+02:00 2023,null,null,295.15,63.43,86.07,null
SMAR,2023-04-04 12:33:35:298 GMT+02:00 2023,null,null,295.21,63.28,86.08,null
SMAR,2023-04-04 12:33:35:333 GMT+02:00 2023,null,null,295.32,63.09,86.1,null
SMAR,2023-04-04 12:33:35:365 GMT+02:00 2023,null,null,293.19,65.21,86.04,null
SMAR,2023-04-04 12:33:35:399 GMT+02:00 2023,null,null,293.06,65.38,86.05,null
SMAR,2023-04-04 12:33:35:432 GMT+02:00 2023,null,null,293.04,65.39,86.06,null
STON,2023-04-04 12:33:35:458 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.556748,160.7509,-0.243961,1
STON,2023-04-04 12:33:35:461 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.564566,161.940475,-0.232115,1
SMAR,2023-04-04 12:33:35:464 GMT+02:00 2023,null,null,292.84,65.56,86.05,null
SMAR,2023-04-04 12:33:35:497 GMT+02:00 2023,null,null,292.81,65.56,86.06,null
SMAR,2023-04-04 12:33:35:531 GMT+02:00 2023,null,null,292.75,65.61,86.07,null
STON,2023-04-04 12:33:35:537 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.655963,162.232849,-0.034306,1
SMAR,2023-04-04 12:33:35:564 GMT+02:00 2023,null,null,292.17,66.19,86.05,null
SMAR,2023-04-04 12:33:35:596 GMT+02:00 2023,null,null,292.15,66.2,86.07,null
SMAR,2023-04-04 12:33:35:630 GMT+02:00 2023,null,null,292.17,66.16,86.09,null
SMAR,2023-04-04 12:33:35:663 GMT+02:00 2023,null,null,291.9,66.41,86.08,null
STON,2023-04-04 12:33:35:679 GMT+02:00 2023,46.08979934333333,11.115509026666667,-0.678575,162.379944,0.050824,1
STON,2023-04-04 12:33:35:686 GMT+02:00 2023,46.089799305,11.115508933333333,-0.678575,162.379944,0.050824,1
STON,2023-04-04 12:33:35:689 GMT+02:00 2023,46.089799305,11.115508933333333,-0.678575,162.379944,0.050824,1
SMAR,2023-04-04 12:33:35:695 GMT+02:00 2023,null,null,291.92,66.39,86.09,null
SMAR,2023-04-04 12:33:35:729 GMT+02:00 2023,null,null,291.91,66.42,86.11,null
SMAR,2023-04-04 12:33:35:763 GMT+02:00 2023,null,null,292.18,66.17,86.11,null
SMAR,2023-04-04 12:33:35:798 GMT+02:00 2023,null,null,292.26,66.04,86.13,null
SMAR,2023-04-04 12:33:35:830 GMT+02:00 2023,null,null,292.32,65.87,86.13,null
SMAR,2023-04-04 12:33:35:868 GMT+02:00 2023,null,null,292.6,65.4,86.13,null
SMAR,2023-04-04 12:33:35:903 GMT+02:00 2023,null,null,292.75,64.96,86.14,null
SMAR,2023-04-04 12:33:35:931 GMT+02:00 2023,null,null,292.9,64.47,86.16,null
STON,2023-04-04 12:33:35:937 GMT+02:00 2023,46.089799305,11.115508933333333,-0.642838,162.707504,0.051639,1
SMAR,2023-04-04 12:33:35:963 GMT+02:00 2023,null,null,293.21,63.88,86.16,null
SMAR,2023-04-04 12:33:35:997 GMT+02:00 2023,null,null,293.15,63.75,86.17,null
SMAR,2023-04-04 12:33:36:028 GMT+02:00 2023,null,null,293.11,63.74,86.16,null
SMAR,2023-04-04 12:33:36:064 GMT+02:00 2023,null,null,293.47,63.4,86.15,null
SMAR,2023-04-04 12:33:36:101 GMT+02:00 2023,null,null,293.57,63.25,86.15,null
