Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
SMAR,2023-04-04 12:33:20:109 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
STON,2023-04-04 12:33:20:136 GMT+02:00 2023,46.089799598333336,11.115508618333333,0.019088,121.168472,-0.023919,1
STON,2023-04-04 12:33:20:227 GMT+02:00 2023,46.089799598333336,11.115508618333333,0.080942,121.437714,-0.03927,1
STON,2023-04-04 12:33:20:376 GMT+02:00 2023,46.089799598333336,11.115508618333333,0.178474,121.063713,-0.048813,1
STON,2023-04-04 12:33:20:591 GMT+02:00 2023,46.089799598333336,11.115508618333333,0.281898,120.783051,-0.138419,1
STON,2023-04-04 12:33:20:791 GMT+02:00 2023,46.089799598333336,11.115508618333333,0.370724,120.852341,-0.247907,1
SMAR,2023-04-04 12:33:20:831 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
STON,2023-04-04 12:33:20:838 GMT+02:00 2023,46.08979976,11.115508618333333,0.370724,120.852341,-0.247907,1
STON,2023-04-04 12:33:20:841 GMT+02:00 2023,46.08979976,11.115508618333333,0.370724,120.852341,-0.247907,1
SMAR,2023-04-04 12:33:20:867 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:20:896 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:20:930 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
STON,2023-04-04 12:33:20:938 GMT+02:00 2023,46.08979976,11.115508618333333,0.422798,120.575478,-0.444044,1
SMAR,2023-04-04 12:33:20:965 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:20:997 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:21:030 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:21:066 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:21:098 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
STON,2023-04-04 12:33:21:103 GMT+02:00 2023,46.08979976,11.115508618333333,0.473506,120.255455,-0.68212,1
SMAR,2023-04-04 12:33:21:135 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:21:167 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:21:199 GMT+02:00 2023,46.0899281,11.1158534,0.0,0.0,0.0,null
SMAR,2023-04-04 12:33:21:236 GMT+02:00 2023,46.0899281,11.1158534,289.28,62.11,84.94,null
SMAR,2023-04-04 12:33:21:264 GMT+02:00 2023,46.0899281,11.1158534,289.33,62.07,84.92,null
SMAR,2023-04-04 12:33:21:297 GMT+02:00 2023,46.0899281,11.1158534,289.41,62.02,84.89,null
SMAR,2023-04-04 12:33:21:334 GMT+02:00 2023,46.0899281,11.1158534,288.76,62.67,84.76,null
STON,2023-04-04 12:33:21:340 GMT+02:00 2023,46.08979976,11.115508618333333,0.522566,120.218102,-0.860068,1
SMAR,2023-04-04 12:33:21:366 GMT+02:00 2023,46.0899281,11.1158534,288.97,62.49,84.77,null
SMAR,2023-04-04 12:33:21:400 GMT+02:00 2023,46.0899281,11.1158534,290.24,61.71,84.95,null
SMAR,2023-04-04 12:33:21:434 GMT+02:00 2023,46.0899281,11.1158534,290.32,61.85,84.95,null
SMAR,2023-04-04 12:33:21:467 GMT+02:00 2023,46.0899281,11.1158534,290.19,61.91,84.92,null
SMAR,2023-04-04 12:33:21:501 GMT+02:00 2023,46.0899281,11.1158534,290.32,61.62,84.92,null
STON,2023-04-04 12:33:21:507 GMT+02:00 2023,46.08979976,11.115508618333333,0.392665,120.269859,-0.871251,1
SMAR,2023-04-04 12:33:21:534 GMT+02:00 2023,46.0899281,11.1158534,290.5,61.27,84.9,null
SMAR,2023-04-04 12:33:21:567 GMT+02:00 2023,46.0899281,11.1158534,290.49,61.18,84.88,null
SMAR,2023-04-04 12:33:21:599 GMT+02:00 2023,46.0899281,11.1158534,290.39,61.3,84.88,null
SMAR,2023-04-04 12:33:21:633 GMT+02:00 2023,46.0899281,11.1158534,290.78,60.96,84.86,null
SMAR,2023-04-04 12:33:21:666 GMT+02:00 2023,46.0899281,11.1158534,290.85,60.96,84.85,null
SMAR,2023-04-04 12:33:21:702 GMT+02:00 2023,46.0899281,11.1158534,290.95,60.83,84.85,null
SMAR,2023-04-04 12:33:21:734 GMT+02:00 2023,46.0899281,11.1158534,291.25,60.42,84.83,null
STON,2023-04-04 12:33:21:739 GMT+02:00 2023,46.08979976,11.115508618333333,0.32519,120.691505,-0.911285,1
STON,2023-04-04 12:33:21:744 GMT+02:00 2023,46.089799895,11.115508823333334,0.32519,120.691505,-0.911285,1
STON,2023-04-04 12:33:21:751 GMT+02:00 2023,46.089799895,11.115508823333334,0.32519,120.691505,-0.911285,1
SMAR,2023-04-04 12:33:21:766 GMT+02:00 2023,46.0899281,11.1158534,291.36,60.2,84.84,null
SMAR,2023-04-04 12:33:21:804 GMT+02:00 2023,46.0899281,11.1158534,291.54,59.96,84.86,null
SMAR,2023-04-04 12:33:21:839 GMT+02:00 2023,46.0899281,11.1158534,291.78,59.67,84.86,null
SMAR,2023-04-04 12:33:21:872 GMT+02:00 2023,46.0899281,11.1158534,291.85,59.64,84.86,null
SMAR,2023-04-04 12:33:21:903 GMT+02:00 2023,46.0899281,11.1158534,291.93,59.66,84.86,null
STON,2023-04-04 12:33:21:923 GMT+02:00 2023,46.089799895,11.115508823333334,0.292935,120.966835,-0.931637,1
SMAR,2023-04-04 12:33:21:937 GMT+02:00 2023,46.0899281,11.1158534,291.98,59.67,84.85,null
SMAR,2023-04-04 12:33:21:973 GMT+02:00 2023,46.0899281,11.1158534,292.05,59.6,84.86,null
SMAR,2023-04-04 12:33:22:004 GMT+02:00 2023,46.0899281,11.1158534,292.07,59.56,84.86,null
SMAR,2023-04-04 12:33:22:037 GMT+02:00 2023,46.0899281,11.1158534,291.91,59.71,84.85,null
SMAR,2023-04-04 12:33:22:074 GMT+02:00 2023,46.0899038,11.1158067,291.67,59.96,84.85,null
SMAR,2023-04-04 12:33:22:107 GMT+02:00 2023,46.0899038,11.1158067,291.44,60.18,84.85,null
SMAR,2023-04-04 12:33:22:140 GMT+02:00 2023,46.0899038,11.1158067,291.53,59.9,84.9,null
SMAR,2023-04-04 12:33:22:172 GMT+02:00 2023,46.0899038,11.1158067,291.52,59.82,84.91,null
SMAR,2023-04-04 12:33:22:206 GMT+02:00 2023,46.0899038,11.1158067,291.3,59.93,84.91,null
SMAR,2023-04-04 12:33:22:242 GMT+02:00 2023,46.0899038,11.1158067,291.43,59.75,84.94,null
SMAR,2023-04-04 12:33:22:278 GMT+02:00 2023,46.0899038,11.1158067,291.55,59.68,84.95,null
SMAR,2023-04-04 12:33:22:313 GMT+02:00 2023,46.0899038,11.1158067,291.63,59.66,84.97,null
STON,2023-04-04 12:33:22:334 GMT+02:00 2023,46.089799895,11.115508823333334,0.230343,121.053696,-0.796017,1
SMAR,2023-04-04 12:33:22:352 GMT+02:00 2023,46.0899038,11.1158067,292.04,59.23,85.01,null
SMAR,2023-04-04 12:33:22:381 GMT+02:00 2023,46.0899038,11.1158067,292.15,59.12,85.03,null
SMAR,2023-04-04 12:33:22:409 GMT+02:00 2023,46.0899038,11.1158067,292.26,59.0,85.04,null
SMAR,2023-04-04 12:33:22:446 GMT+02:00 2023,46.0899038,11.1158067,292.54,58.73,85.07,null
STON,2023-04-04 12:33:22:457 GMT+02:00 2023,46.089799895,11.115508823333334,0.162524,121.1287,-0.660864,1
SMAR,2023-04-04 12:33:22:474 GMT+02:00 2023,46.0899038,11.1158067,292.66,58.71,85.08,null
SMAR,2023-04-04 12:33:22:509 GMT+02:00 2023,46.0899038,11.1158067,292.66,58.78,85.08,null
SMAR,2023-04-04 12:33:22:544 GMT+02:00 2023,46.0899038,11.1158067,292.77,58.72,85.11,null
SMAR,2023-04-04 12:33:22:590 GMT+02:00 2023,46.0899215,11.1159337,292.93,58.54,85.11,null
SMAR,2023-04-04 12:33:22:618 GMT+02:00 2023,46.0899215,11.1159337,292.93,58.5,85.12,null
SMAR,2023-04-04 12:33:22:651 GMT+02:00 2023,46.0899215,11.1159337,292.91,58.44,85.12,null
SMAR,2023-04-04 12:33:22:687 GMT+02:00 2023,46.0899215,11.1159337,292.42,58.71,85.13,null
SMAR,2023-04-04 12:33:22:718 GMT+02:00 2023,46.0899215,11.1159337,290.45,60.18,85.18,null
STON,2023-04-04 12:33:22:727 GMT+02:00 2023,46.089799895,11.115508823333334,0.121327,120.931244,-0.687135,1
SMAR,2023-04-04 12:33:22:757 GMT+02:00 2023,46.0899215,11.1159337,290.44,60.07,85.17,null
SMAR,2023-04-04 12:33:22:787 GMT+02:00 2023,46.0899215,11.1159337,290.38,60.11,85.18,null
SMAR,2023-04-04 12:33:22:817 GMT+02:00 2023,46.0899215,11.1159337,290.32,60.23,85.18,null
SMAR,2023-04-04 12:33:22:849 GMT+02:00 2023,46.0899215,11.1159337,290.09,60.55,85.19,null
STON,2023-04-04 12:33:22:854 GMT+02:00 2023,46.089799845,11.11550888,0.121327,120.931244,-0.687135,1
STON,2023-04-04 12:33:22:857 GMT+02:00 2023,46.089799845,11.11550888,0.121327,120.931244,-0.687135,1
SMAR,2023-04-04 12:33:22:879 GMT+02:00 2023,46.0899215,11.1159337,289.88,60.91,85.24,null
SMAR,2023-04-04 12:33:22:918 GMT+02:00 2023,46.0899215,11.1159337,290.03,60.85,85.25,null
SMAR,2023-04-04 12:33:22:947 GMT+02:00 2023,46.0899215,11.1159337,290.04,60.8,85.26,null
STON,2023-04-04 12:33:22:958 GMT+02:00 2023,46.089799845,11.11550888,0.089794,121.380707,-0.699834,1
SMAR,2023-04-04 12:33:22:988 GMT+02:00 2023,46.0899215,11.1159337,290.11,60.68,85.24,null
SMAR,2023-04-04 12:33:23:017 GMT+02:00 2023,46.0899215,11.1159337,289.97,60.82,85.21,null
SMAR,2023-04-04 12:33:23:050 GMT+02:00 2023,46.0899215,11.1159337,289.65,61.1,85.19,null
SMAR,2023-04-04 12:33:23:084 GMT+02:00 2023,46.0899215,11.1159337,288.98,61.64,85.14,null
SMAR,2023-04-04 12:33:23:113 GMT+02:00 2023,46.0899084,11.1159823,288.21,62.21,85.09,null
