Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
SMAR,2023-04-04 12:36:15:886 GMT+02:00 2023,46.0898439,11.115696,258.58,99.58,80.18,null
SMAR,2023-04-04 12:36:15:918 GMT+02:00 2023,46.0898439,11.115696,256.84,101.69,80.26,null
SMAR,2023-04-04 12:36:15:952 GMT+02:00 2023,46.0898439,11.115696,255.13,103.66,79.71,null
SMAR,2023-04-04 12:36:15:984 GMT+02:00 2023,46.0898439,11.115696,253.4,105.66,79.5,null
SMAR,2023-04-04 12:36:16:021 GMT+02:00 2023,46.0898439,11.115696,251.89,107.1,79.67,null
STON,2023-04-04 12:36:16:026 GMT+02:00 2023,46.089801308333335,11.11551074,2.628482,115.512024,-0.656804,1
SMAR,2023-04-04 12:36:16:049 GMT+02:00 2023,46.0898439,11.115696,251.24,107.64,79.52,null
SMAR,2023-04-04 12:36:16:080 GMT+02:00 2023,46.0898439,11.115696,251.41,107.73,79.2,null
SMAR,2023-04-04 12:36:16:114 GMT+02:00 2023,46.0898439,11.115696,252.42,106.99,79.06,null
STON,2023-04-04 12:36:16:123 GMT+02:00 2023,46.089801308333335,11.11551074,2.696196,114.759361,-0.693673,1
SMAR,2023-04-04 12:36:16:145 GMT+02:00 2023,46.0898439,11.115696,254.23,105.15,79.11,null
SMAR,2023-04-04 12:36:16:181 GMT+02:00 2023,46.0898329,11.1157437,255.15,103.98,78.87,null
SMAR,2023-04-04 12:36:16:214 GMT+02:00 2023,46.0898329,11.1157437,255.46,103.79,78.51,null
SMAR,2023-04-04 12:36:16:256 GMT+02:00 2023,46.0898329,11.1157437,256.78,102.54,78.17,null
SMAR,2023-04-04 12:36:16:291 GMT+02:00 2023,46.0898329,11.1157437,257.93,101.14,77.75,null
SMAR,2023-04-04 12:36:16:317 GMT+02:00 2023,46.0898329,11.1157437,260.38,99.39,77.55,null
STON,2023-04-04 12:36:16:323 GMT+02:00 2023,46.089801308333335,11.11551074,2.895765,115.316071,-0.647264,1
SMAR,2023-04-04 12:36:16:356 GMT+02:00 2023,46.0898329,11.1157437,262.99,97.11,77.7,null
SMAR,2023-04-04 12:36:16:388 GMT+02:00 2023,46.0898329,11.1157437,263.42,96.22,78.51,null
SMAR,2023-04-04 12:36:16:423 GMT+02:00 2023,46.0898329,11.1157437,262.33,97.57,77.99,null
SMAR,2023-04-04 12:36:16:449 GMT+02:00 2023,46.0898329,11.1157437,261.09,100.0,77.86,null
SMAR,2023-04-04 12:36:16:489 GMT+02:00 2023,46.0898329,11.1157437,260.7,100.94,77.83,null
SMAR,2023-04-04 12:36:16:520 GMT+02:00 2023,46.0898329,11.1157437,260.54,100.68,78.0,null
SMAR,2023-04-04 12:36:16:552 GMT+02:00 2023,46.0898329,11.1157437,262.1,99.7,78.49,null
STON,2023-04-04 12:36:16:558 GMT+02:00 2023,46.089801308333335,11.11551074,3.09472,114.156807,-0.620128,1
SMAR,2023-04-04 12:36:16:581 GMT+02:00 2023,46.0898329,11.1157437,264.01,98.52,79.0,null
SMAR,2023-04-04 12:36:16:614 GMT+02:00 2023,46.0898329,11.1157437,265.91,97.27,79.3,null
SMAR,2023-04-04 12:36:16:653 GMT+02:00 2023,46.0898318,11.1157423,265.44,97.9,78.77,null
SMAR,2023-04-04 12:36:16:683 GMT+02:00 2023,46.0898318,11.1157423,263.78,98.36,78.7,null
SMAR,2023-04-04 12:36:16:720 GMT+02:00 2023,46.0898318,11.1157423,262.69,98.36,79.05,null
STON,2023-04-04 12:36:16:727 GMT+02:00 2023,46.089801308333335,11.11551074,3.085776,115.177086,-0.666448,1
SMAR,2023-04-04 12:36:16:746 GMT+02:00 2023,46.0898318,11.1157423,263.35,97.7,79.41,null
