Input,Time,Latitude,Longitude,Pitch,Yaw,Roll,Status
STON,2023-04-04 12:37:31:034 GMT+02:00 2023,46.089800825,11.11551145,1.707708,138.65033,-1.024692,1
STON,2023-04-04 12:37:31:407 GMT+02:00 2023,46.089800825,11.11551145,2.368754,138.923752,-0.86616,1
STON,2023-04-04 12:37:31:485 GMT+02:00 2023,46.089800825,11.11551145,2.387637,138.721237,-0.831285,1
SMAR,2023-04-04 12:37:31:542 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:577 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:624 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:659 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:696 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:37:31:701 GMT+02:00 2023,46.089800825,11.11551145,2.295081,137.539673,-0.890889,1
SMAR,2023-04-04 12:37:31:732 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:763 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:37:31:768 GMT+02:00 2023,46.089800931666666,11.115511225,2.295081,137.539673,-0.890889,1
SMAR,2023-04-04 12:37:31:797 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:37:31:803 GMT+02:00 2023,46.089800931666666,11.115511225,2.295081,137.539673,-0.890889,1
SMAR,2023-04-04 12:37:31:827 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:856 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:890 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:918 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
STON,2023-04-04 12:37:31:921 GMT+02:00 2023,46.089800931666666,11.115511225,2.298009,136.443634,-1.054395,1
SMAR,2023-04-04 12:37:31:936 GMT+02:00 2023,null,null,0.0,0.0,0.0,null
SMAR,2023-04-04 12:37:31:966 GMT+02:00 2023,null,null,283.94,76.22,86.19,null
SMAR,2023-04-04 12:37:32:001 GMT+02:00 2023,null,null,283.93,76.19,86.2,null
SMAR,2023-04-04 12:37:32:031 GMT+02:00 2023,null,null,276.85,83.18,85.82,null
SMAR,2023-04-04 12:37:32:067 GMT+02:00 2023,null,null,276.83,83.12,85.84,null
SMAR,2023-04-04 12:37:32:103 GMT+02:00 2023,null,null,276.95,82.92,85.87,null
STON,2023-04-04 12:37:32:111 GMT+02:00 2023,46.089800931666666,11.115511225,2.217562,136.050629,-1.125653,1
SMAR,2023-04-04 12:37:32:141 GMT+02:00 2023,null,null,278.83,81.05,85.91,null
SMAR,2023-04-04 12:37:32:171 GMT+02:00 2023,null,null,280.56,79.45,85.92,null
SMAR,2023-04-04 12:37:32:204 GMT+02:00 2023,null,null,281.1,79.01,85.93,null
SMAR,2023-04-04 12:37:32:235 GMT+02:00 2023,null,null,281.5,78.68,85.98,null
SMAR,2023-04-04 12:37:32:271 GMT+02:00 2023,null,null,281.16,79.08,85.99,null
STON,2023-04-04 12:37:32:277 GMT+02:00 2023,46.089800931666666,11.115511225,2.162795,136.225708,-0.98804,1
SMAR,2023-04-04 12:37:32:301 GMT+02:00 2023,null,null,280.66,79.45,85.97,null
SMAR,2023-04-04 12:37:32:344 GMT+02:00 2023,null,null,280.28,79.81,86.12,null
SMAR,2023-04-04 12:37:32:371 GMT+02:00 2023,null,null,280.44,79.58,86.11,null
SMAR,2023-04-04 12:37:32:402 GMT+02:00 2023,null,null,280.3,79.72,86.09,null
SMAR,2023-04-04 12:37:32:435 GMT+02:00 2023,null,null,280.37,79.76,86.05,null
SMAR,2023-04-04 12:37:32:467 GMT+02:00 2023,null,null,279.94,80.22,86.05,null
STON,2023-04-04 12:37:32:472 GMT+02:00 2023,46.089800931666666,11.115511225,2.236476,135.957047,-0.851961,1
SMAR,2023-04-04 12:37:32:500 GMT+02:00 2023,null,null,278.93,81.2,86.07,null
SMAR,2023-04-04 12:37:32:536 GMT+02:00 2023,null,null,278.39,81.68,86.15,null
SMAR,2023-04-04 12:37:32:567 GMT+02:00 2023,null,null,277.89,82.06,86.17,null
SMAR,2023-04-04 12:37:32:608 GMT+02:00 2023,null,null,277.0,82.87,86.21,null
SMAR,2023-04-04 12:37:32:634 GMT+02:00 2023,null,null,277.63,82.23,86.26,null
SMAR,2023-04-04 12:37:32:669 GMT+02:00 2023,null,null,276.54,83.27,86.27,null
SMAR,2023-04-04 12:37:32:711 GMT+02:00 2023,null,null,276.23,83.66,86.27,null
STON,2023-04-04 12:37:32:720 GMT+02:00 2023,46.089800931666666,11.115511225,2.262995,135.967789,-0.798935,1
